batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1149.2825634777546,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1148.9722356200218,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1149.3449360132217,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1156.680827960372,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1140.0019098073244,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1156.6234827041626,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2145.43947391212,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2199.1751324385405,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2198.6881513148546,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2196.353344246745,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2155.6146796792746,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2212.927669286728,2048,5,ours_max_speed,64,main,prefill_decode,False
