batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,827.2044006735086,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,709.3251179903746,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,696.7040989547968,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,684.0591952204704,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,711.1600674688816,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,692.815599963069,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1629.7416407614946,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1581.9628201425076,2048,1,ours_max_speed,64,main,prefill_decode,False
8,3111.479504033923,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1562.7561509609222,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2295.7154028117657,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1557.475185021758,2048,5,ours_max_speed,64,main,prefill_decode,False
