batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,924.7464835643768,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,946.988882496953,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1063.189823180437,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,910.9027981758118,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1136.879676952958,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1770.8023767918348,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2397.2023613750935,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1906.530812382698,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2037.0199531316757,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2117.9294772446156,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1983.0243326723576,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2008.4384083747864,2048,5,ours_max_speed,64,main,prefill_decode,False
