family,label,dataset,score,speedup,speed_kind
ours,point_001,cnn_dm_1000,23.64348361151731,1.115063527500725,measured
ours,point_001,dsum,21.315645589800017,1.115063527500725,measured
ours,point_001,IWSLT,17.66568766324801,1.115063527500725,measured
ours,point_002,cnn_dm_1000,23.51939826089261,1.110062021431934,measured
ours,point_002,dsum,21.44943198523612,1.110062021431934,measured
ours,point_002,IWSLT,17.583158333412438,1.110062021431934,measured
ours,point_003,cnn_dm_1000,23.490496428129703,1.1721565071558635,measured
ours,point_003,dsum,21.302474928139343,1.1721565071558635,measured
ours,point_003,IWSLT,17.48558524613552,1.1721565071558635,measured
ours,point_004,cnn_dm_1000,23.82561592367882,1.213638315303042,measured
ours,point_004,dsum,21.73954531380346,1.213638315303042,measured
ours,point_004,IWSLT,17.61348978703031,1.213638315303042,measured
ours,point_005,cnn_dm_1000,23.78593384478783,1.2653146211110928,measured
ours,point_005,dsum,21.26228397757845,1.2653146211110928,measured
ours,point_005,IWSLT,17.799579643803305,1.2653146211110928,measured
ours,point_006,cnn_dm_1000,24.03090004848777,1.281673136001538,measured
ours,point_006,dsum,20.300102550795852,1.281673136001538,measured
ours,point_006,IWSLT,18.878957129751512,1.281673136001538,measured
ours,point_008,cnn_dm_1000,17.01375782342984,1.7867689548848371,measured
ours,point_008,dsum,14.002173093633049,1.7867689548848371,measured
ours,point_008,IWSLT,5.785243079106138,1.7867689548848371,measured
ours,point_009,cnn_dm_1000,18.460242619020566,1.8559866445730553,measured
ours,point_009,dsum,13.573771019025024,1.8559866445730553,measured
ours,point_009,IWSLT,2.6026263063506963,1.8559866445730553,measured
uniform,dense_bf16,IWSLT,19.295782920893743,1.0,baseline_measured
uniform,dense_bf16,cnn_dm_1000,23.670921942521996,1.0,baseline_measured
uniform,dense_bf16,dsum,21.6884274989806,1.0,baseline_measured
uniform,dense_nvfp4,IWSLT,16.83504400661571,1.1876669070662245,baseline_measured
uniform,dense_nvfp4,cnn_dm_1000,24.27316709602392,1.1876669070662245,baseline_measured
uniform,dense_nvfp4,dsum,20.592439983847946,1.1876669070662245,baseline_measured
uniform,marlin_nvfp4,IWSLT,18.199827875042086,1.3867920235270572,baseline_measured
uniform,marlin_nvfp4,cnn_dm_1000,24.579271279422223,1.3867920235270572,baseline_measured
uniform,marlin_nvfp4,dsum,21.36761570848509,1.3867920235270572,baseline_measured
uniform,sparse_bf16,IWSLT,3.8998158055250642,1.4418279929302427,baseline_measured
uniform,sparse_bf16,cnn_dm_1000,15.349945589337494,1.4418279929302427,baseline_measured
uniform,sparse_bf16,dsum,13.539484283644915,1.4418279929302427,baseline_measured
uniform,sparse_nvfp4,IWSLT,0.23786141262252805,1.1851652275149565,baseline_measured
uniform,sparse_nvfp4,cnn_dm_1000,2.047047209920785,1.1851652275149565,baseline_measured
uniform,sparse_nvfp4,dsum,9.38796571259981,1.1851652275149565,baseline_measured
