point_index,quality_ratio,predicted_delta_nll,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,520.2821759999996,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_000.json
1,0.001,0.001329620650462111,513.9255499999996,1.0123687681999853,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_001.json
2,0.0013503140378698735,0.001994430975693166,510.74723699999953,1.0186686061309032,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_002.json
3,0.0018233480008684403,0.002659241300924222,507.5689239999995,1.0250473411567649,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_003.json
4,0.0024620924014946257,0.003324051626155277,504.3906109999995,1.0315064647386945,123,5,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_004.json
5,0.0033245979322709418,0.004653672276617388,501.2122979999995,1.0380475061687335,122,6,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_005.json
6,0.004489251258218608,0.0059832929270794985,498.0339849999995,1.0446720337769724,121,7,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_006.json
7,0.006061898993497572,0.007977723902772665,493.5556409999995,1.054151007059405,119,8,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_007.json
8,0.008185467307069028,0.010636965203696887,487.1990149999995,1.067904819142543,117,10,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_008.json
9,0.011052951411260215,0.01462582715508322,477.6640759999995,1.0892219074896479,114,13,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_009.json
10,0.014924955450518298,0.019944309756931664,464.9508239999995,1.1190047401658119,110,17,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_010.json
11,0.02015337685941733,0.026592413009242217,449.0592589999995,1.1586047176905,105,22,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_011.json
12,0.027213387683753074,0.03589975756247699,426.8110679999996,1.2189987912872027,98,29,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_012.json
13,0.0367466194073669,0.04853115374186705,404.3252189999995,1.2867913045018353,82,43,3,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_013.json
14,0.04961947603002903,0.06581622219787449,385.37319399999967,1.3500736016423602,62,59,7,0,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_014.json
15,0.06700187503509587,0.08908458358096143,379.03097199999974,1.3726640154356566,59,58,5,6,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_015.json
16,0.09047357242349298,0.12033066886682103,374.7357899999998,1.3883973452335574,54,58,12,4,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_016.json
17,0.12216773489967918,0.16221371935637752,369.04996599999976,1.409787898476598,50,56,16,6,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_017.json
18,0.16496480740980207,0.21938740732624828,361.74949999999984,1.4382388254855911,44,53,26,5,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_018.json
19,0.22275429519995588,0.29584059472781965,352.6197759999999,1.4754764520070474,36,52,34,6,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_019.json
20,0.3007882518043099,0.4002158157890954,341.35079399999995,1.5241862188256685,30,44,44,10,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_020.json
21,0.40615859883769795,0.5398259840876171,328.264426,1.5849483976676766,29,26,49,24,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_021.json
22,0.5484416576121021,0.7292969267784678,313.96963000000005,1.6571098803409727,28,5,50,45,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_022.json
23,0.7405684692262434,0.983254471016731,300.8894169999999,1.72914747613074,7,0,58,63,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_023.json
24,1.0,1.0457466415884502,298.3248,1.7440124857202608,0,0,64,64,0,/root/workspaces/cospaq/fake/artifacts/debug/064_llama2_pro6000_prefill_only/runs/experiment/pareto/policies/point_024.json
