module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost
model.layers.0.self_attn.q_proj,1,0,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.00013306167377277677,1.2946943998336793
model.layers.0.self_attn.k_proj,2,0,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.00025134788536883425,1.2990015983581542
model.layers.0.self_attn.v_proj,3,0,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.05529285378218662,1.2970336198806762
model.layers.0.self_attn.o_proj,4,0,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.02868447297177316,1.29475839138031
model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.5821154637361708,2.3487871646881104
model.layers.0.mlp.up_proj,6,0,up_proj,mlp,mlp.up_proj,11008,4096,sparse_nvfp4,0.805674945969889,2.346992039680481
model.layers.0.mlp.down_proj,7,0,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.17358536986177073,3.2431904077529907
model.layers.1.self_attn.q_proj,8,1,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.006203345842331108,1.2946943998336793
model.layers.1.self_attn.k_proj,9,1,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.005405059069295135,1.2990015983581542
model.layers.1.self_attn.v_proj,10,1,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.22243568790932677,1.2970336198806762
model.layers.1.self_attn.o_proj,11,1,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.3411776539749652,1.29475839138031
model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.7312177179951019,2.3487871646881104
model.layers.1.mlp.up_proj,13,1,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.07723092812965181,2.80316481590271
model.layers.1.mlp.down_proj,14,1,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.00013065097298794692,3.2431904077529907
model.layers.2.self_attn.q_proj,15,2,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.038265322702137027,1.2946943998336793
model.layers.2.self_attn.k_proj,16,2,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.031133803067720213,1.2990015983581542
model.layers.2.self_attn.v_proj,17,2,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.572438101810648,1.2970336198806762
model.layers.2.self_attn.o_proj,18,2,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.7890948384721158,1.29475839138031
model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.07194509675836203,2.8061856031417847
model.layers.2.mlp.up_proj,20,2,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09856536531803738,2.80316481590271
model.layers.2.mlp.down_proj,21,2,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.2686085437349994,3.2431904077529907
model.layers.3.self_attn.q_proj,22,3,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.1284234661193554,1.2946943998336793
model.layers.3.self_attn.k_proj,23,3,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.09821705771273606,1.2990015983581542
model.layers.3.self_attn.v_proj,24,3,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.8754938038167187,1.2970336198806762
model.layers.3.self_attn.o_proj,25,3,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.5919819817896645,1.29475839138031
model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.07888982500598907,2.8061856031417847
model.layers.3.mlp.up_proj,27,3,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.11278897182963867,2.80316481590271
model.layers.3.mlp.down_proj,28,3,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4216115281176733,3.2431904077529907
model.layers.4.self_attn.q_proj,29,4,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.1345407211116391,1.2946943998336793
model.layers.4.self_attn.k_proj,30,4,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.09313167510141829,1.2990015983581542
model.layers.4.self_attn.v_proj,31,4,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9467076287915875,1.2970336198806762
model.layers.4.self_attn.o_proj,32,4,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.8468209312739868,1.29475839138031
model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.06486803731477173,2.8061856031417847
model.layers.4.mlp.up_proj,34,4,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10822036802679082,2.80316481590271
model.layers.4.mlp.down_proj,35,4,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.222175507954958,3.2431904077529907
model.layers.5.self_attn.q_proj,36,5,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.15731457133160537,1.2946943998336793
model.layers.5.self_attn.k_proj,37,5,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.10879023796620516,1.2990015983581542
model.layers.5.self_attn.v_proj,38,5,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0484608106893922,1.2970336198806762
model.layers.5.self_attn.o_proj,39,5,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.9244478816528893,1.29475839138031
model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.05959060333097865,2.8061856031417847
model.layers.5.mlp.up_proj,41,5,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10590847199958228,2.80316481590271
model.layers.5.mlp.down_proj,42,5,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.5529303280575217,3.2431904077529907
model.layers.6.self_attn.q_proj,43,6,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.20859847171087248,1.2946943998336793
model.layers.6.self_attn.k_proj,44,6,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.1638864298280838,1.2990015983581542
model.layers.6.self_attn.v_proj,45,6,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0089523263870694,1.2970336198806762
model.layers.6.self_attn.o_proj,46,6,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.9909775106514949,1.29475839138031
model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.054255343254532296,2.8061856031417847
model.layers.6.mlp.up_proj,48,6,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10564888491284133,2.80316481590271
model.layers.6.mlp.down_proj,49,6,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.5276839047549218,3.2431904077529907
model.layers.7.self_attn.q_proj,50,7,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.22797188341679822,1.2946943998336793
model.layers.7.self_attn.k_proj,51,7,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.17620591900743213,1.2990015983581542
model.layers.7.self_attn.v_proj,52,7,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0500676764221775,1.2970336198806762
model.layers.7.self_attn.o_proj,53,7,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.141001083311803,1.29475839138031
model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.05326863751877816,2.8061856031417847
model.layers.7.mlp.up_proj,55,7,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10371021152041374,2.80316481590271
model.layers.7.mlp.down_proj,56,7,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.572325806988042,3.2431904077529907
model.layers.8.self_attn.q_proj,57,8,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2169768201293815,1.2946943998336793
model.layers.8.self_attn.k_proj,58,8,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.15325417070279537,1.2990015983581542
model.layers.8.self_attn.v_proj,59,8,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9103632138910849,1.2970336198806762
model.layers.8.self_attn.o_proj,60,8,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.129559404746291,1.29475839138031
model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04834281622402615,2.8061856031417847
model.layers.8.mlp.up_proj,62,8,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08821979126557734,2.80316481590271
model.layers.8.mlp.down_proj,63,8,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4483155586504348,3.2431904077529907
model.layers.9.self_attn.q_proj,64,9,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2411499307367861,1.2946943998336793
model.layers.9.self_attn.k_proj,65,9,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.16377203561285325,1.2990015983581542
model.layers.9.self_attn.v_proj,66,9,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.961309080843067,1.2970336198806762
model.layers.9.self_attn.o_proj,67,9,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2702453285479816,1.29475839138031
model.layers.9.mlp.gate_proj,68,9,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04758673289697949,2.8061856031417847
model.layers.9.mlp.up_proj,69,9,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08581906736925388,2.80316481590271
model.layers.9.mlp.down_proj,70,9,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4942711072582968,3.2431904077529907
model.layers.10.self_attn.q_proj,71,10,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2543377514877697,1.2946943998336793
model.layers.10.self_attn.k_proj,72,10,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.17187325564487713,1.2990015983581542
model.layers.10.self_attn.v_proj,73,10,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9502240528206046,1.2970336198806762
model.layers.10.self_attn.o_proj,74,10,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3038393939006185,1.29475839138031
model.layers.10.mlp.gate_proj,75,10,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.046507742359480776,2.8061856031417847
model.layers.10.mlp.up_proj,76,10,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08344020161359293,2.80316481590271
model.layers.10.mlp.down_proj,77,10,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4670465902802572,3.2431904077529907
model.layers.11.self_attn.q_proj,78,11,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.28029405515157646,1.2946943998336793
model.layers.11.self_attn.k_proj,79,11,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.19173377780005976,1.2990015983581542
model.layers.11.self_attn.v_proj,80,11,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0177710710629566,1.2970336198806762
model.layers.11.self_attn.o_proj,81,11,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3615150941968541,1.29475839138031
model.layers.11.mlp.gate_proj,82,11,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.046612268663719356,2.8061856031417847
model.layers.11.mlp.up_proj,83,11,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08607785611124551,2.80316481590271
model.layers.11.mlp.down_proj,84,11,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4985839884943386,3.2431904077529907
model.layers.12.self_attn.q_proj,85,12,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.293653030140188,1.2946943998336793
model.layers.12.self_attn.k_proj,86,12,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.20738795963310916,1.2990015983581542
model.layers.12.self_attn.v_proj,87,12,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0481134339513907,1.2970336198806762
model.layers.12.self_attn.o_proj,88,12,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3692721183817627,1.29475839138031
model.layers.12.mlp.gate_proj,89,12,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04899437838705202,2.8061856031417847
model.layers.12.mlp.up_proj,90,12,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0869622157671897,2.80316481590271
model.layers.12.mlp.down_proj,91,12,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.5214728339246055,3.2431904077529907
model.layers.13.self_attn.q_proj,92,13,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.30168622744387,1.2946943998336793
model.layers.13.self_attn.k_proj,93,13,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.21511963718336652,1.2990015983581542
model.layers.13.self_attn.v_proj,94,13,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1693752649231568,1.2970336198806762
model.layers.13.self_attn.o_proj,95,13,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2681580036044704,1.29475839138031
model.layers.13.mlp.gate_proj,96,13,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04733137026974737,2.8061856031417847
model.layers.13.mlp.up_proj,97,13,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08521866340097067,2.80316481590271
model.layers.13.mlp.down_proj,98,13,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4722199983050888,3.2431904077529907
