conversion_ms,decode_ms,decode_predictor,decode_runtime,k,module_name,module_type,n,prefill_ms,prefill_predictor,prefill_runtime,row_type,selected_conversion_ms,selected_decode_ms,selected_decode_predictor,selected_decode_runtime,selected_prefill_ms,selected_prefill_predictor,selected_prefill_runtime,selected_total_ms,total_ms
0,0.0,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,3.914394789297884,dense_bf16,dense_bf16,candidate,,,,,,,,,3.914394789297884
0.036042486607956364,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,2.407372722403801,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.443415209011757
0.5678972657361411,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,2.407372722403801,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.975269988139942
0,0.0,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,1.9079242915966026,sparse_bf16,sparse_bf16,candidate,,,,,,,,,1.9079242915966026
0,0.0,sparse_nvfp4,sparse_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,2.1361463190118672,sparse_nvfp4,sparse_nvfp4,candidate,,,,,,,,,2.1361463190118672
0.5678972657361411,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,3.6664150868265093,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,4.23431235256265
0.5318547791281847,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,3.6664150868265093,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,4.198269865954694
,,,,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,6144,,,,selected,0,0.0,sparse_bf16,sparse_bf16,1.9079242915966026,sparse_bf16,sparse_bf16,1.9079242915966026,
0,0.0,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,2.441358,dense_bf16,dense_bf16,candidate,,,,,,,,,2.441358
0.0354415,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.969835,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.0052765
0.485563,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.969835,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.455398
0,0.0,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.257995,sparse_bf16,sparse_bf16,candidate,,,,,,,,,1.257995
0,0.0,sparse_nvfp4,sparse_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.8060494999999999,sparse_nvfp4,sparse_nvfp4,candidate,,,,,,,,,1.8060494999999999
0.485563,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,2.398342,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,2.883905
0.4501215,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.o_proj,o_proj,4096,2.398342,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,2.8484635
,,,,4096,model.layers.0.self_attn.o_proj,o_proj,4096,,,,selected,0,0.0,sparse_bf16,sparse_bf16,1.257995,sparse_bf16,sparse_bf16,1.257995,
0,0.0,dense_bf16,dense_bf16,4096,model.layers.0.mlp.gate_up_proj,gate_up_proj,28672,18.58725059711499,dense_bf16,dense_bf16,candidate,,,,,,,,,18.58725059711499
