batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1161.5462824702263,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1168.4695724397898,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1173.35806787014,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1166.0537961870432,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1162.341594696045,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1161.6986077278852,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2968.884214758873,2048,0,ours_max_speed,64,main,prefill_decode,True
8,3009.9341440945864,2048,1,ours_max_speed,64,main,prefill_decode,False
8,3000.50344504416,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2999.515200033784,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2988.7175112962723,2048,4,ours_max_speed,64,main,prefill_decode,False
8,3906.548807397485,2048,5,ours_max_speed,64,main,prefill_decode,False
