model,batch_size,input_tokens,output_tokens,prefill_total_ms,decode_total_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_self_attn_block_pct,decode_self_attn_block_pct,prefill_mlp_block_pct,decode_mlp_block_pct,prefill_norm_pct,decode_norm_pct,prefill_lm_head_pct,decode_lm_head_pct,prefill_other_pct,decode_other_pct,warmup,iters,gpu,status,error_msg
llama2-7b,1,64,1,36.15628166198731,33.734588623046875,46.65031932811913,37.972079517011146,45.16421066450894,44.48009657642718,29.882984352868014,23.092841872806254,14.55463821888164,21.775727242515394,0.9283432542015598,0.5320213140045255,9.469823509539836,10.119312994246641,3,10,0,OK,
llama2-7b,1,1024,1,92.18711318969727,35.739766693115236,84.58139420487733,35.788410484553744,35.061355289634626,45.62591397498383,57.805917304915695,21.794282171854054,4.365785036861985,20.32771636338109,1.2100398517379902,0.5596276020642578,1.5569025168497035,11.692459887716765,3,10,0,OK,
llama2-7b,1,8192,1,686.9732055664062,37.3401538848877,70.81732978459547,34.357171903105055,42.881216566511505,54.26804839147781,47.707872071986266,21.86726499234336,7.113709302138107,15.084886969931182,1.287064116911671,0.5403212967824489,1.0101379424524453,8.239478349465202,3,10,0,OK,
llama2-7b,4,64,1,37.35072288513184,34.63284797668457,68.11519280166463,40.41974497999743,29.183777874160707,44.42650287463037,49.667553955780335,23.997509002139353,13.837568926426716,21.40064948544015,1.0106406903645235,0.5953284545397679,6.300458553267717,9.580010183250351,3,10,0,OK,
llama2-7b,4,1024,1,320.0495178222656,35.80797157287598,84.26503451283271,40.93794133426857,37.515655725016174,45.38447756784337,55.42076614938698,24.291690417991244,4.671800060767188,20.003465387052604,1.3856376208683376,0.5780880362021322,1.0061404439613284,9.742278590910644,3,10,0,OK,
llama2-7b,4,8192,1,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 259.75 MiB is free. Including non-PyTorch memory, this process has 31.11 GiB memory in use. Of the allocated memory 26.41 GiB is allocated by PyTorch, and 4.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,64,1,90.27734985351563,34.18464241027832,86.4330521060725,40.96657841552376,33.694320063831206,44.562719724704195,59.08741637875167,24.41884369993506,4.38740039434756,20.60367553003742,1.2381471165974725,0.608067202526299,1.5927160464720913,9.806693842797031,3,10,0,OK,
llama2-7b,16,1024,1,1182.740625,33.78810539245605,77.97710447819614,31.102581122283283,35.228905359687275,71.05298047428774,53.37075611492739,19.398391029673316,8.613764566339018,5.921676809573379,1.4883162819545508,0.4850653746248977,1.2982576770917689,3.141886311840665,3,10,0,OK,
llama2-7b,16,8192,1,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 30.23 GiB memory in use. Of the allocated memory 27.94 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,64,1,161.86622467041016,23.929555320739745,87.44561665707286,52.475104461285476,35.922015053966156,43.44084061722104,58.05991887361096,35.90490788345194,3.598078348643522,14.463118715935899,1.3738535385468842,1.0201276124336955,1.046134185232475,5.171005170957429,3,10,0,OK,
llama2-7b,32,1024,1,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 469.75 MiB is free. Including non-PyTorch memory, this process has 30.90 GiB memory in use. Of the allocated memory 27.90 GiB is allocated by PyTorch, and 2.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
