module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.mlp.gate_proj,0,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04155258994765138
model.layers.0.mlp.up_proj,0,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.056649417673509755
model.layers.1.mlp.gate_proj,1,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04324110009889653
model.layers.1.mlp.up_proj,1,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07723092812965181
model.layers.2.mlp.gate_proj,2,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07194509675836203
model.layers.2.mlp.up_proj,2,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.09856536531803738
model.layers.3.mlp.gate_proj,3,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.07888982500598907
model.layers.3.mlp.up_proj,3,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.11278897182963867
model.layers.5.mlp.up_proj,5,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.10590847199958228
model.layers.6.mlp.gate_proj,6,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.054255343254532296
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.10564888491284133
model.layers.7.mlp.gate_proj,7,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.05326863751877816
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.10371021152041374
model.layers.8.mlp.gate_proj,8,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04834281622402615
model.layers.8.mlp.up_proj,8,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08821979126557734
model.layers.12.mlp.gate_proj,12,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04899437838705202
model.layers.12.mlp.up_proj,12,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.0869622157671897
model.layers.13.mlp.gate_proj,13,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.04733137026974737
model.layers.13.mlp.up_proj,13,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08521866340097067
model.layers.14.mlp.gate_proj,14,gate_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.0487874331281335
model.layers.14.mlp.up_proj,14,up_proj,mlp,dense_bf16,dense_nvfp4_prefill_marlin_decode,-4.71555832793196,0.08597515151477989
