batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1115.302050486207,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1115.652121603489,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1111.7478497326374,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1113.1859235465527,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1112.6146856695414,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1133.249420672655,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2128.8931109011173,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2203.0056938529015,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2127.8081126511097,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2126.9474886357784,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2109.1421395540237,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2122.4523168057203,2048,5,ours_max_speed,64,main,prefill_decode,False
