batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1155.6721162050962,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1115.991149097681,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1103.4722439944744,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1113.5242879390717,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1130.8177206665277,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1292.3097368329763,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2297.621011734009,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2288.329631090164,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2305.1626067608595,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2969.093119725585,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2748.8534301519394,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2281.4974822103977,2048,5,ours_max_speed,64,main,prefill_decode,False
