conversion_ms,decode_ms,decode_predictor,decode_runtime,k,module_name,module_type,n,prefill_ms,prefill_predictor,prefill_runtime,row_type,selected_conversion_ms,selected_decode_ms,selected_decode_predictor,selected_decode_runtime,selected_prefill_ms,selected_prefill_predictor,selected_prefill_runtime,selected_total_ms,total_ms
0,0.0,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.8391634750771,dense_bf16,dense_bf16,candidate,,,,,,,,,7.8391634750771
0.03610966438594391,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,3.294211277232814,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,3.3303209416187576
0.6123426335897382,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,3.294211277232814,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,3.906553910822552
0,0.0,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,3.8042125295750835,sparse_bf16,sparse_bf16,candidate,,,,,,,,,3.8042125295750835
0,0.0,sparse_nvfp4,sparse_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,2.6727769176622624,sparse_nvfp4,sparse_nvfp4,candidate,,,,,,,,,2.6727769176622624
0.6123426335897382,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.380890143455208,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,7.993232777044946
0.5762329692037943,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.380890143455208,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,7.957123112659002
,,,,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,,,,selected,0,0.0,sparse_nvfp4,sparse_nvfp4,2.6727769176622624,sparse_nvfp4,sparse_nvfp4,2.6727769176622624,
0,0.0,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,2.441358,dense_bf16,dense_bf16,candidate,,,,,,,,,2.441358
0.0354415,0.0,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.969835,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.0052765
0.485563,0.0,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.969835,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,2.455398
0,0.0,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.257995,sparse_bf16,sparse_bf16,candidate,,,,,,,,,1.257995
0,0.0,sparse_nvfp4,sparse_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,1.8060494999999999,sparse_nvfp4,sparse_nvfp4,candidate,,,,,,,,,1.8060494999999999
