method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_bf16,none,baseline,,,0,0,dense_bf16,none,1.9578884548403745,0.0,7.084352330933277,65408,128061.56805419922,1.9578884548403745
sparse_nvfp4,layer:0,layer,0,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9601870940856039,0.002298639245229328,7.100655431523162,65408,128211.91744995117,1.9578884548403745
sparse_nvfp4,layer:1,layer,1,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9881417494697347,0.030253294629360106,7.301952290613247,65408,130040.3755493164,1.9578884548403745
sparse_nvfp4,layer:2,layer,2,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9896543721163575,0.03176591727598299,7.3130057467590825,65408,130139.31317138672,1.9578884548403745
sparse_nvfp4,layer:3,layer,3,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9765824875019768,0.0186940326616023,7.218033067764748,65408,129284.3073425293,1.9578884548403745
sparse_nvfp4,layer:4,layer,4,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9711857373933737,0.013297282552999112,7.179184070476975,65408,128931.31671142578,1.9578884548403745
sparse_nvfp4,layer:5,layer,5,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.970978658493251,0.013090203652876387,7.177697566852961,65408,128917.77209472656,1.9578884548403745
sparse_nvfp4,layer:6,layer,6,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9749823512396467,0.017093896399272168,7.206492467039587,65408,129179.64562988281,1.9578884548403745
sparse_nvfp4,layer:7,layer,7,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9678661118748138,0.009977657034439202,7.155391381093042,65408,128714.18664550781,1.9578884548403745
sparse_nvfp4,layer:8,layer,8,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9709207801669544,0.01303232532657983,7.177282145753185,65408,128913.98638916016,1.9578884548403745
sparse_nvfp4,layer:9,layer,9,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9701754477625957,0.01228699292222113,7.171934677862831,65408,128865.23568725586,1.9578884548403745
sparse_nvfp4,layer:10,layer,10,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9742633699204357,0.01637491508006117,7.201312995773414,65408,129132.61849975586,1.9578884548403745
sparse_nvfp4,layer:11,layer,11,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9667003444029627,0.00881188956258816,7.147054718821587,65408,128637.93612670898,1.9578884548403745
sparse_nvfp4,layer:12,layer,12,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9663049171582128,0.008416462317838214,7.144229137358811,65408,128612.07202148438,1.9578884548403745
sparse_nvfp4,layer:13,layer,13,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9735033288160648,0.01561487397569028,7.195841781328497,65408,129082.90573120117,1.9578884548403745
sparse_nvfp4,layer:14,layer,14,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9687403326165187,0.010851877776144159,7.161649507746902,65408,128771.36767578125,1.9578884548403745
sparse_nvfp4,layer:15,layer,15,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9702852738113552,0.012396818970980661,7.172722386365127,65408,128872.41918945312,1.9578884548403745
sparse_nvfp4,layer:16,layer,16,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.974727571360519,0.01683911652014447,7.204656631636793,65408,129162.98098754883,1.9578884548403745
sparse_nvfp4,layer:17,layer,17,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9776543717095063,0.01976591686913176,7.2257741114295735,65408,129354.41714477539,1.9578884548403745
sparse_nvfp4,layer:18,layer,18,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9703057978717782,0.012417343031403627,7.172869601263501,65408,128873.76162719727,1.9578884548403745
sparse_nvfp4,layer:19,layer,19,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9766679439992587,0.018779489158884166,7.2186499219447064,65408,129289.89688110352,1.9578884548403745
sparse_nvfp4,layer:20,layer,20,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9759210495099628,0.018032594669588287,7.213260365063564,65408,129241.04400634766,1.9578884548403745
sparse_nvfp4,layer:21,layer,21,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9750107342483012,0.017122279407926655,7.206697011880434,65408,129181.50210571289,1.9578884548403745
sparse_nvfp4,layer:22,layer,22,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9771182107832102,0.019229755942835602,7.221900972094553,65408,129319.3479309082,1.9578884548403745
sparse_nvfp4,layer:23,layer,23,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9736912157204287,0.015802760880054167,7.197193912785002,65408,129095.1950378418,1.9578884548403745
sparse_nvfp4,layer:24,layer,24,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9684675686979947,0.010579113857620115,7.15969633455377,65408,128753.52673339844,1.9578884548403745
sparse_nvfp4,layer:25,layer,25,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9776747100740497,0.019786255233675165,7.225921073352038,65408,129355.74743652344,1.9578884548403745
sparse_nvfp4,layer:26,layer,26,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9739334130707085,0.016044958230333917,7.198937265189272,65408,129111.0366821289,1.9578884548403745
sparse_nvfp4,layer:27,layer,27,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9771053917020733,0.019216936861698786,7.221808394553411,65408,129318.50946044922,1.9578884548403745
sparse_nvfp4,layer:28,layer,28,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9771908034083894,0.019302348568014827,7.222425247873949,65408,129324.09606933594,1.9578884548403745
sparse_nvfp4,layer:29,layer,29,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9961803197394146,0.03829186489904002,7.360886101646403,65408,130566.16235351562,1.9578884548403745
sparse_nvfp4,layer:30,layer,30,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.008440927516691,0.05055247267631624,7.45169056046562,65408,131368.10418701172,1.9578884548403745
sparse_nvfp4,layer:31,layer,31,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.0081576059942376,0.0502691511538631,7.44957963520058,65408,131349.5726928711,1.9578884548403745
sparse_nvfp4,type:q_proj,type,,q_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9862064382101459,0.028317983369771316,7.287834405785439,65408,129913.79071044922,1.9578884548403745
sparse_nvfp4,type:k_proj,type,,k_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9779491424560547,0.02006068761568014,7.227904372212645,65408,129373.69750976562,1.9578884548403745
sparse_nvfp4,type:v_proj,type,,v_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,2.0379329390255205,0.08004448418514598,7.67472865941017,65408,133297.11767578125,1.9578884548403745
