batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1181.9749884307384,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1536.0635314136744,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1213.121747598052,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1184.0286329388618,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1519.9819263070822,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1197.302270680666,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2371.730526909232,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2376.9499734044075,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2358.438717201352,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2339.8941196501255,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2389.0312872827053,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2347.3917320370674,2048,5,ours_max_speed,64,main,prefill_decode,False
