module_index,module_name,layer,module_type,prefill_method,decode_method,quality_cost,latency_ms,prefill_runtime,decode_runtime
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_nvfp4,sparse_nvfp4,0.00039491998257231434,2.6727769176622624,sparse_nvfp4,sparse_nvfp4
1,model.layers.0.self_attn.o_proj,0,o_proj,sparse_bf16,sparse_bf16,0.00015030256839148335,1.257995,sparse_bf16,sparse_bf16
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,sparse_nvfp4,sparse_nvfp4,0.0032806339610544476,3.85249556114741,sparse_nvfp4,sparse_nvfp4
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,0.0008360695517019657,3.4039856523906575,sparse_bf16,sparse_bf16
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_nvfp4,sparse_nvfp4,0.0009800732977298479,2.6727769176622624,sparse_nvfp4,sparse_nvfp4
5,model.layers.1.self_attn.o_proj,1,o_proj,sparse_bf16,sparse_bf16,0.001787722497836366,1.257995,sparse_bf16,sparse_bf16
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,sparse_nvfp4,sparse_nvfp4,0.00473623126298385,3.85249556114741,sparse_nvfp4,sparse_nvfp4
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,6.292771130564916e-07,3.4039856523906575,sparse_bf16,sparse_bf16
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_nvfp4,sparse_nvfp4,0.0022426852680095216,2.6727769176622624,sparse_nvfp4,sparse_nvfp4
9,model.layers.2.self_attn.o_proj,2,o_proj,sparse_bf16,sparse_bf16,0.0041347449905575215,1.257995,sparse_bf16,sparse_bf16
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,sparse_nvfp4,sparse_nvfp4,0.008052073100705952,3.85249556114741,sparse_nvfp4,sparse_nvfp4
11,model.layers.2.mlp.down_proj,2,down_proj,sparse_bf16,sparse_bf16,0.00611022102433181,3.4039856523906575,sparse_bf16,sparse_bf16
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,sparse_nvfp4,sparse_nvfp4,0.003693912151710472,2.6727769176622624,sparse_nvfp4,sparse_nvfp4
13,model.layers.3.self_attn.o_proj,3,o_proj,sparse_bf16,sparse_bf16,0.0031019015894774775,1.257995,sparse_bf16,sparse_bf16
14,model.layers.3.mlp.gate_up_proj,3,gate_up_proj,dense_nvfp4,dense_nvfp4,0.000885078663168823,4.8661182278672515,dense_nvfp4,dense_nvfp4
15,model.layers.3.mlp.down_proj,3,down_proj,sparse_bf16,sparse_bf16,0.0068471560359848705,3.4039856523906575,sparse_bf16,sparse_bf16
16,model.layers.4.self_attn.qkv_proj,4,qkv_proj,sparse_nvfp4,sparse_nvfp4,0.003931715341059404,2.6727769176622624,sparse_nvfp4,sparse_nvfp4
17,model.layers.4.self_attn.o_proj,4,o_proj,sparse_bf16,sparse_bf16,0.0044372215262032805,1.257995,sparse_bf16,sparse_bf16
18,model.layers.4.mlp.gate_up_proj,4,gate_up_proj,dense_nvfp4,dense_nvfp4,0.0007992373540465511,4.8661182278672515,dense_nvfp4,dense_nvfp4
