group,candidate,prefill_backend,decode_backend,supported,reason,prefill_group_ms,decode_first_group_ms,decode_steady_group_ms,projected_total_ms
mlp.down_proj,dense_bf16,dense_bf16,dense_bf16,True,,207.93966674804688,23.10419273376465,2.0734319984912872,759.7690190970898
mlp.down_proj,marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,201.07608540852866,0.9259200096130371,0.751288004219532,393.5804464941224
mlp.down_proj,dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,162.49275716145834,23.49955177307129,0.9154480025172234,419.4315495764216
mlp.gate_proj,dense_bf16,dense_bf16,dense_bf16,True,,198.52383931477866,1.9207359552383423,1.854880005121231,673.438976575931
mlp.gate_proj,marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,212.13560485839844,1.0178560018539429,0.7631239891052246,407.75007808208466
mlp.gate_proj,dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,88.92115020751953,23.414976119995117,0.9207520112395287,347.12788919359446
mlp.up_proj,dense_bf16,dense_bf16,dense_bf16,True,,198.76744588216147,2.1256959438323975,1.855432003736496,674.0283027788004
mlp.up_proj,marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,209.61035664876303,0.9976959824562073,0.7653679996728897,405.77689254780614
mlp.up_proj,dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,88.95709991455078,23.3156795501709,0.9229159951210022,347.61635822057724
self_attn.o_proj,dense_bf16,dense_bf16,dense_bf16,True,,78.18146260579427,1.2195199728012085,0.8081839978694916,285.4879020353158
self_attn.o_proj,marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,76.45570119222005,0.8648959994316101,0.7559560090303421,270.0893794943889
self_attn.o_proj,dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,62.50071334838867,30.056255340576172,0.9144560024142265,325.7432493045926
self_attn.q_proj,dense_bf16,dense_bf16,dense_bf16,True,,78.11922200520833,0.8303359746932983,0.8096600025892258,285.4128586401542
self_attn.q_proj,marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,76.39714050292969,0.819104015827179,0.7556999996304512,269.9197444245219
self_attn.q_proj,dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,62.51196797688802,21.88319969177246,0.914732001721859,317.65182810773456
