model,scenario,method_family,policy_or_method,batch_size,input_tokens,output_tokens,prefill_ms,decode_avg_ms,decode_first_ms,decode_steady_ms,decode_x_n_ms,e2e_ms,replaced_linear_count,skipped_linear_count,backend_counts,policy_json,source_file,category,timing_mode
Llama-2-7B,normal_01,oracle,oracle,1,16384,32,1240.98583984375,25.962535977363586,104.61436462402344,23.424196370442708,830.8011512756348,2071.7869911193848,224,0,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/pred/normal_01/llama2-7b_policy.json,oracle/normal_01/llama2-7b_full_e2e.csv,oracle,
Llama-2-7B,normal_01,pred,pred,1,16384,32,1240.98583984375,25.962535977363586,104.61436462402344,23.424196370442708,830.8011512756348,2071.7869911193848,224,0,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/pred/normal_01/llama2-7b_policy.json,pred/normal_01/llama2-7b_full_e2e.csv,pred,
Llama-2-7B,normal_01,single,dense_bf16,1,16384,32,1513.1180419921875,29.523327946662903,39.34694290161133,29.204623985290528,944.7464942932129,2457.8645362854004,,,,/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_bf16/normal_01/llama2-7b_policy.json,single/dense_bf16/normal_01/llama2-7b_full_e2e.csv,single/dense_bf16,
Llama-2-7B,normal_01,single,dense_nvfp4,1,16384,32,1311.0037841796875,63.36846423149109,64.21139526367188,63.348245493570964,2027.7908554077148,3338.7946395874023,224,0,{'dense_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_nvfp4/normal_01/llama2-7b_policy.json,single/dense_nvfp4/normal_01/llama2-7b_full_e2e.csv,single/dense_nvfp4,
Llama-2-7B,normal_01,single,dense_nvfp4_prefill_marlin_decode,1,16384,32,1190.8056640625,39.52136689424515,513.3235473632812,23.714684867858885,1264.6837406158447,2455.4894046783447,224,0,{'dense_nvfp4/marlin_nvfp4': 224},artifacts/results/main/003_llama2_oracle_summary/single/dense_nvfp4_prefill_marlin_decode/normal_01/llama2-7b_policy.json,single/dense_nvfp4_prefill_marlin_decode/normal_01/llama2-7b_full_e2e.csv,single/dense_nvfp4_prefill_marlin_decode,warm_e2e_aligned
Llama-2-7B,normal_01,single,marlin_nvfp4,1,16384,32,1521.3753662109375,23.50094711780548,24.87811279296875,23.455266253153482,752.0303077697754,2273.405673980713,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/normal_01/llama2-7b_policy.json,single/marlin_nvfp4/normal_01/llama2-7b_full_e2e.csv,single/marlin_nvfp4,
Llama-2-7B,normal_01,single,sparse_bf16,1,16384,32,1167.326171875,39.43929708003998,166.42530822753906,35.3377025604248,1262.0575065612793,2429.3836784362793,224,0,{'sparse_bf16': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_bf16/normal_01/llama2-7b_policy.json,single/sparse_bf16/normal_01/llama2-7b_full_e2e.csv,single/sparse_bf16,
Llama-2-7B,normal_01,single,sparse_nvfp4,1,16384,32,1125.9560546875,73.49207782745361,74.33392333984375,73.47140986124674,2351.7464904785156,3477.7025451660156,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/normal_01/llama2-7b_policy.json,single/sparse_nvfp4/normal_01/llama2-7b_full_e2e.csv,single/sparse_nvfp4,
Llama-2-7B,normal_02,trace_oracle,trace_oracle,1,16384,256,1253.83154296875,24.11293064057827,140.80581665039062,23.62704999428096,6172.910243988037,7426.741786956787,224,0,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}",artifacts/debug/006_llama2_full_model_trace_oracle/results/attention_ablation_policies/attn_k_proj-marlin_q_proj-marlin_v_proj-marlin/policy.json,oracle/normal_02/llama2-7b_full_e2e.csv,oracle,warm_e2e_aligned
Llama-2-7B,normal_02,pred,pred,1,16384,256,1240.86279296875,23.599621519446373,94.15392303466797,23.32340573889064,6041.5031089782715,7282.3659019470215,224,0,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}",/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/pred/normal_02/llama2-7b_policy.json,pred/normal_02/llama2-7b_full_e2e.csv,pred,warm_e2e_aligned
