module_index,module_name,layer,module_type,prefill_method,decode_method,prefill_runtime,decode_runtime,quality_cost,latency_ms
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0011321706321294257,2.6727769176622624
1,model.layers.0.self_attn.o_proj,0,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.00035826266029336364,1.257995
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.010269994151447378,3.85249556114741
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0021177715859449107,3.4039856523906575
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.002809708938495637,2.6727769176622624
5,model.layers.1.self_attn.o_proj,1,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.004261232690801076,1.257995
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.014826727988608747,3.85249556114741
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,1.5939645057084164e-06,3.4039856523906575
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.006429409778181462,2.6727769176622624
9,model.layers.2.self_attn.o_proj,2,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.009855618275886583,1.257995
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.025206940071027455,3.85249556114741
11,model.layers.2.mlp.down_proj,2,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.015477244019748565,3.4039856523906575
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.010589838550564645,2.6727769176622624
13,model.layers.3.self_attn.o_proj,3,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007393722724151291,1.257995
14,model.layers.3.mlp.gate_up_proj,3,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.030665136312144407,3.85249556114741
15,model.layers.3.mlp.down_proj,3,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.017343906936954243,3.4039856523906575
16,model.layers.4.self_attn.qkv_proj,4,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.011271581179676289,2.6727769176622624
17,model.layers.4.self_attn.o_proj,4,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.010576604280959467,1.257995
18,model.layers.4.mlp.gate_up_proj,4,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.02832828606413147,3.85249556114741
19,model.layers.4.mlp.down_proj,4,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.01491075293871771,3.4039856523906575
20,model.layers.5.self_attn.qkv_proj,5,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.01273312847512415,2.6727769176622624
21,model.layers.5.self_attn.o_proj,5,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.011546147552002782,1.257995
22,model.layers.5.mlp.gate_up_proj,5,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.02804737761908322,3.85249556114741
