batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,850.0208370387554,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1006.7098159343004,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,869.5199992507696,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,864.0867006033659,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,828.7174087017775,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1323.043478652835,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1857.951434329152,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1986.4989630877972,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1938.7222286313772,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1898.0284854769707,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1849.1636421531439,2048,4,ours_max_speed,64,main,prefill_decode,False
8,5066.9810976833105,2048,5,ours_max_speed,64,main,prefill_decode,False
