batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,850.3871317952871,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,729.2589358985424,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,800.688611343503,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,705.9248015284538,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,679.9825541675091,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1056.2643241137266,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2410.9206181019545,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1588.0810804665089,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1537.6158822327852,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1599.069906398654,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1611.3175731152296,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2853.8250159472227,2048,5,ours_max_speed,64,main,prefill_decode,False
