point_index,quality_ratio,predicted_delta_nll,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,564.9398400000005,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_000.json
1,0.001,0.001911250148385117,555.5554800000003,1.016891850297292,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_001.json
2,0.0013503140378698735,0.002866875222577676,550.8633000000003,1.0255535992323324,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_002.json
3,0.0018233480008684403,0.003822500296770234,546.1711200000003,1.0343641750958932,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_003.json
4,0.0024620924014946257,0.004778125370962793,541.4789400000003,1.0433274468624765,123,5,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_004.json
5,0.0033245979322709418,0.00668937551934791,532.0945800000003,1.0617282363597842,121,7,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_005.json
6,0.004489251258218608,0.008600625667733027,527.4024000000002,1.0711741926089078,120,8,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_006.json
7,0.006061898993497572,0.011467500890310704,521.3515410000001,1.083606349213803,118,9,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_007.json
8,0.008185467307069028,0.015290001187080937,511.96718100000015,1.1034688569226867,116,11,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_008.json
9,0.011052951411260215,0.021023751632236288,497.8906410000001,1.1346665180637536,113,14,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_009.json
10,0.014924955450518298,0.028668752225776757,479.121921,1.179114991902031,109,18,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_010.json
11,0.02015337685941733,0.03822500296770234,455.66102099999995,1.2398248126648528,104,23,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_011.json
12,0.027213387683753074,0.05160375400639816,422.81576099999995,1.336137136098861,97,30,1,0,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_012.json
13,0.0367466194073669,0.06976063041605678,408.176253,1.3840585674639934,90,31,6,1,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_013.json
14,0.04961947603002903,0.09365125727087074,404.023082,1.3982860513895106,86,31,10,1,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_014.json
15,0.06700187503509587,0.12805375994180285,399.741808,1.4132618322474804,80,31,16,1,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_015.json
16,0.09047357242349298,0.1729681384288531,394.28142299999996,1.4328340293121051,72,30,24,2,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_016.json
17,0.12216773489967918,0.2331725181029843,387.09315,1.4594415840218318,65,30,31,2,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_017.json
18,0.16496480740980207,0.3134450243351592,377.58239699999996,1.4962028010008117,58,30,38,2,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_018.json
19,0.22275429519995588,0.42620878308988114,365.543927,1.5454772963578751,48,30,48,2,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_019.json
20,0.3007882518043099,0.5752862946639202,351.37777199999994,1.6077847974970954,34,27,62,5,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_020.json
21,0.40615859883769795,0.7759675602443575,334.68963899999994,1.687951385910696,31,15,65,17,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_021.json
22,0.5484416576121021,1.0464094562408517,318.437776,1.7740980580143246,27,1,69,31,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_022.json
23,0.7405684692262434,1.355076355205048,308.80767999999983,1.829422895181884,0,0,96,32,0,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_023.json
