point_index,quality_ratio,predicted_delta_nll,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1004.2719049031714,1.0,128,0,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_000.json
1,0.001,0.0017649399401927363,985.8366650178998,1.0187000956035013,126,2,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_001.json
2,0.0013503140378698735,0.0026474099102891044,976.619045075264,1.0283148889706286,125,3,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_002.json
3,0.0018233480008684403,0.0035298798803854725,967.4014251326282,1.0381129061966063,124,4,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_003.json
4,0.0024620924014946257,0.004412349850481841,958.1838051899924,1.048099435059895,123,5,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_004.json
5,0.0033245979322709418,0.006177289790674577,939.7485653047208,1.068660216126564,121,7,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_005.json
6,0.004489251258218608,0.007942229730867313,921.3133254194493,1.090043828950323,119,9,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_006.json
7,0.006061898993497572,0.010589639641156418,893.6604655915421,1.1237734503992096,116,12,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_007.json
8,0.008185467307069028,0.01411951952154189,856.7899858209989,1.1721331032374886,112,16,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_008.json
9,0.011052951411260215,0.0194143393421201,815.4106635169976,1.2316148780438863,107,21,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_009.json
