source,label,eval_scope,sparse_ratio,count_sparse_bf16,predicted_quality_cost,true_ce_nll,true_nll_delta_vs_bf16_clipped,quality_residual_vs_bf16,true_bal_acc,sum_sparse_bf16_local_rel_mse,method_diversity,non_sparse_count
full_theoretical,keyfix_dense_scan_theoretical_frontier,ALL-full,0.5535714285714286,124,0.02406879554646593,0.3074115179287956,0.22528441848941863,0.2012156229429527,0.912253961111111,4.727024833962449,3,100
full_theoretical,keyfix_dense_scan_theoretical_frontier,ALL-full,0.45535714285714285,102,0.020265696886778217,0.25081921169607563,0.16869211225669864,0.14842641536992043,0.9340675955555555,3.7375586511384506,3,122
full_theoretical,keyfix_dense_scan_theoretical_frontier,ALL-full,0.7678571428571429,172,0.0352523766329528,0.2623857387676767,0.1802586393282997,0.1450062626953469,0.9251674077777778,7.02435285674245,3,52
full_theoretical,keyfix_dense_scan_theoretical_frontier,ALL-full,0.6696428571428571,150,0.028806318939153835,0.2494035087395793,0.16727640930020232,0.1384700903610485,0.9325699722222223,5.591576029882449,3,74
genimage_partial,random_mixed,GenImage-partial,0.17410714285714285,39,0.13491038334308514,0.0651710297625,0.004073788237499994,-0.13083659510558515,0.994140625,1.44458188397352,4,185
genimage_partial,random_mixed,GenImage-partial,0.22767857142857142,51,0.12595053015100802,0.062174890000000003,0.0010776484749999982,-0.12487288167600802,0.99674479125,2.5696880354977805,4,173
genimage_partial,random_mixed,GenImage-partial,0.19196428571428573,43,0.1151962943740567,0.05913710585,0.0,-0.1151962943740567,0.9947916675,1.7314640713583103,4,181
genimage_partial,random_mixed,GenImage-partial,0.14732142857142858,33,0.11488644890221698,0.0614643200375,0.0003670785124999937,-0.11451937038971699,0.9954427100000001,1.41986829121514,4,191
genimage_partial,random_mixed,GenImage-partial,0.14285714285714285,32,0.11559225078949613,0.063157583275,0.002060341749999993,-0.11353190903949614,0.99609375125,1.4231429039308994,4,192
genimage_partial,random_mixed,GenImage-partial,0.16517857142857142,37,0.11744834431742573,0.065934816575,0.004837575049999994,-0.11261076926742575,0.99348958375,1.7236652109550001,4,187
genimage_partial,random_mixed,GenImage-partial,0.19196428571428573,43,0.11641381311158545,0.06547170225,0.004374460724999994,-0.11203935238658547,0.9954427100000001,1.9790736961968998,4,181
genimage_partial,random_mixed,GenImage-partial,0.16964285714285715,38,0.11254570221078788,0.062160583175,0.0010633416499999937,-0.11148236056078789,0.99674479125,1.5535522189852005,4,186
genimage_partial,random_mixed,GenImage-partial,0.21428571428571427,48,0.10938236007305263,0.061616292225,0.0005190506999999955,-0.10886330937305264,0.99609375125,2.0728462364828095,4,176
genimage_partial,random_mixed,GenImage-partial,0.1875,42,0.11404378171149192,0.06630839951249999,0.0052111579874999855,-0.10883262372399194,0.99609375,1.7331283013399403,4,182
genimage_partial,random_mixed,GenImage-partial,0.19196428571428573,43,0.11390656053191359,0.06631796575,0.005220724224999994,-0.10868583630691359,0.99348958375,1.98237422304551,4,181
genimage_partial,random_mixed,GenImage-partial,0.20535714285714285,46,0.10856734587974813,0.060099048625000005,0.0,-0.10856734587974813,0.99544270875,1.9717049903811998,4,178
genimage_partial,random_mixed,GenImage-partial,0.18303571428571427,41,0.10787969676394978,0.0609714910625,0.0,-0.10787969676394978,0.9967447925,2.07866619280752,4,183
genimage_partial,random_mixed,GenImage-partial,0.21875,49,0.10722000398114068,0.061179024825000004,8.1783299999999e-05,-0.10713822068114068,0.99479166875,2.18041248196,4,175
genimage_partial,random_mixed,GenImage-partial,0.19196428571428573,43,0.10785271022705938,0.062231875575000005,0.0011346340499999996,-0.10671807617705938,0.99544270875,1.5611264303640002,4,181
genimage_partial,random_mixed,GenImage-partial,0.1875,42,0.10664308304186924,0.058200856550000006,0.0,-0.10664308304186924,0.99609375125,2.0191879237537003,4,182
genimage_partial,random_mixed,GenImage-partial,0.18303571428571427,41,0.1074473611956734,0.061942835,0.0008455934749999963,-0.1066017677206734,0.99609375125,1.56461457429824,4,183
genimage_partial,random_mixed,GenImage-partial,0.16964285714285715,38,0.10784266793489253,0.0632949394,0.0021976978749999945,-0.10564497005989254,0.99739583375,1.6253830166814398,4,186
genimage_partial,random_mixed,GenImage-partial,0.17410714285714285,39,0.10552396060006987,0.0597317855625,0.0,-0.10552396060006987,0.99739583375,1.7095225642379,4,185
genimage_partial,random_mixed,GenImage-partial,0.19196428571428573,43,0.10552107529350661,0.06025438795000001,0.0,-0.10552107529350661,0.99609375,2.02609291878731,4,181
genimage_partial,random_mixed,GenImage-partial,0.23214285714285715,52,0.1053987602358347,0.05988697655,0.0,-0.1053987602358347,0.99544270875,2.23509560356869,4,172
genimage_partial,random_mixed,GenImage-partial,0.19642857142857142,44,0.10526957953760312,0.058686604249999996,0.0,-0.10526957953760312,0.9967447925,1.7858697230827003,4,180
