policy_id,policy_json,repaired_unsupported_actions,raw_predicted_prefill_ms,raw_predicted_decode_ms,raw_predicted_linear_ms,measured_delta_nll_original_policy
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p00.json,0,2089.525339992455,11.015172084784718,2970.7391067752324,0.0
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p01.json,0,963.4728319549292,19.545540963264354,2527.1161090160776,0.04263121404015635
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p02.json,0,928.4460022102392,11.486885073007528,1847.3968080508414,0.3610215642105439
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p03.json,0,846.6624908827918,19.545540963264354,2410.3057679439403,0.3140975994691575
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p04.json,0,2159.031324800745,5.266118885984428,2580.3208356794994,0.0243844079764326
p07,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p07.json,0,1924.2826396180308,11.256312150449478,2824.787611653989,0.002703291432358812
p21,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p21.json,0,2089.525339992455,11.49447111197569,3009.08302895051,0.0010605066479520975
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p37.json,0,1410.6792344617975,13.418233146095048,2484.1378861494013,0.08252784331876595
p05,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p05.json,0,2018.2364510875384,11.49447111197569,2937.794140045594,-0.0008595455199487123
p24,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p24.json,0,2089.525339992455,10.676037544276875,2943.608343534605,0.00023229830978555022
p18,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p18.json,0,2065.311873375952,11.266412084784719,2966.6248401587295,-0.0008806104707201889
p23,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p23.json,0,2089.525339992455,11.256312150449478,2990.0303120284134,0.000770375933107692
