method,variant,split,rows,pearson,spearman,mae,rmse
sparse_bf16,local_only,train,56,0.9700937459971701,0.9258373205741627,0.03421138194861108,0.039390278380868504
sparse_bf16,local_only,holdout,24,0.9425617950001309,0.9017391304347825,0.039234032532978656,0.04664266136036853
sparse_bf16,local_only,all,80,0.961972994912769,0.9276371308016877,0.03571817712392135,0.04169864721161859
sparse_bf16,local_layer,train,56,0.971430714340697,0.9347231715652767,0.03369483467448052,0.03865776892006192
sparse_bf16,local_layer,holdout,24,0.9484582931653296,0.9156521739130434,0.04264952597594597,0.050188805094280725
sparse_bf16,local_layer,all,80,0.9629747629859945,0.9357946554149087,0.036381242064920154,0.04244727335826582
sparse_bf16,local_type,train,56,0.9710622967813892,0.9258373205741627,0.03356606261112684,0.03821347665878678
sparse_bf16,local_type,holdout,24,0.940168855717245,0.9243478260869564,0.04002220040840311,0.04810564341606942
sparse_bf16,local_type,all,80,0.96119111110448,0.9304969526488513,0.03550290395030972,0.0414298773518382
sparse_bf16,final_layer_type,train,56,0.9715132649145927,0.9301435406698564,0.0330151253672981,0.03736169376938364
sparse_bf16,final_layer_type,holdout,24,0.944805137122119,0.9269565217391303,0.043085504913852914,0.05120840408824913
sparse_bf16,final_layer_type,all,80,0.9610055739596909,0.9290201593999062,0.03603623923126455,0.04199782741644695
dense_nvfp4,local_only,train,56,0.8025650513705267,0.8544087491455912,0.035765307440333634,0.04070686240123184
dense_nvfp4,local_only,holdout,24,0.8295510998871137,0.806086956521739,0.035785583309720564,0.04057552255272955
dense_nvfp4,local_only,all,80,0.8144504450562567,0.8566104078762307,0.035771390201149715,0.04066750498512412
dense_nvfp4,local_layer,train,56,0.808437973944452,0.8581681476418318,0.035592398676226246,0.040423060667326004
dense_nvfp4,local_layer,holdout,24,0.8234247695206072,0.8017391304347825,0.03636819982545609,0.04132188265256839
dense_nvfp4,local_layer,all,80,0.8167554341191894,0.8575480543834975,0.0358251390209952,0.04069479179681121
dense_nvfp4,local_type,train,56,0.8007946099209419,0.8302118933697882,0.0347781391492091,0.039410138617869066
dense_nvfp4,local_type,holdout,24,0.8325401460584152,0.8182608695652173,0.03589502919106684,0.04090531649594698
dense_nvfp4,local_type,all,80,0.8149426893677126,0.8366619784341304,0.03511320616176642,0.03986458068769614
dense_nvfp4,final_layer_type,train,56,0.8069414613947854,0.8369788106630212,0.03456065507407935,0.03911550452316104
dense_nvfp4,final_layer_type,holdout,24,0.8287048202925799,0.7930434782608695,0.03640059693577274,0.0414923345685281
dense_nvfp4,final_layer_type,all,80,0.8179830250339402,0.8334036568213784,0.03511263763258737,0.03984344405614308
dense_nvfp4,dense_calibrated_reference,train,56,0.8230989436434613,0.8685577580314422,0.007073126370025017,0.009481982632229062
dense_nvfp4,dense_calibrated_reference,holdout,24,0.8541508017325933,0.8765217391304347,0.007534864181219436,0.009639003597920562
dense_nvfp4,dense_calibrated_reference,all,80,0.8366455890163023,0.8725738396624473,0.007211647713383342,0.009529360595273073
sparse_nvfp4,local_only,train,56,0.9433534915196576,0.9258373205741627,0.04476112452386991,0.05905347451773276
sparse_nvfp4,local_only,holdout,24,0.9318132387575586,0.9278260869565217,0.05117662832847608,0.06710555343125936
sparse_nvfp4,local_only,all,80,0.9399585951417807,0.9281059540553213,0.04668577566525176,0.061579749814579796
sparse_nvfp4,local_layer,train,56,0.9589543070270591,0.9416951469583048,0.041316257095187874,0.05150138060433015
sparse_nvfp4,local_layer,holdout,24,0.933095797239359,0.9356521739130435,0.053207883485916346,0.06841519312688579
sparse_nvfp4,local_layer,all,80,0.9508038213706221,0.940436005625879,0.04488374501240642,0.05710399406419113
sparse_nvfp4,local_type,train,56,0.9535498978401888,0.9511278195488722,0.042529577952590686,0.05423430215034082
sparse_nvfp4,local_type,holdout,24,0.9387916698696515,0.9460869565217391,0.049625143862963954,0.0648749346282418
sparse_nvfp4,local_type,all,80,0.9493346674028802,0.9569151429910924,0.04465824772570266,0.05763313989120945
sparse_nvfp4,final_layer_type,train,56,0.9680651852563362,0.9627477785372521,0.0383559162315858,0.046175963318620464
sparse_nvfp4,final_layer_type,holdout,24,0.9449128779930589,0.9591304347826087,0.04995963107427547,0.06400508895410424
sparse_nvfp4,final_layer_type,all,80,0.9609129123012571,0.9692217533989685,0.041837030684392706,0.05216846878612259
