model,batch_size,input_tokens,output_tokens,prefill_ms,decode_total_ms,decode_per_token_ms,first_decode_ms,tokens_per_sec,warmup,iters,gpu,status,error_msg
llama2-7b,1,16,128,18.890598392486574,2210.945659637451,17.270018434149073,17.6533185005188,57.90381775288892,3,10,0,OK,
llama2-7b,1,64,128,17.993785858154297,1782.8739168167115,13.929492989487535,13.828307151794434,71.79012192006493,3,10,0,OK,
llama2-7b,1,256,128,30.392556953430176,1797.7108786582946,14.044244650592955,14.091808032989501,71.2035445749501,3,10,0,OK,
llama2-7b,1,1024,128,90.66608352661133,1793.5789979934693,14.011913268772636,14.066012859344482,71.36784112335533,3,10,0,OK,
llama2-7b,1,4096,128,338.125341796875,2056.09128074646,16.06244039610615,16.161350440979003,62.257040358725284,3,10,0,OK,
llama2-7b,1,8192,128,689.8784729003906,2600.284417152405,20.314420796191598,20.352976036071777,49.22611429745872,3,10,0,OK,
llama2-7b,4,16,128,17.94611530303955,1838.2306668281556,14.362582635504054,14.182672119140625,278.5014437523283,3,10,0,OK,
llama2-7b,4,64,128,29.70517768859863,1862.0122568130494,14.548910494676726,14.300623989105224,274.9346764806583,3,10,0,OK,
llama2-7b,4,256,128,89.4295883178711,1935.5263930320739,15.121903390208567,15.044662475585938,264.51696567444014,3,10,0,OK,
llama2-7b,4,1024,128,319.737255859375,2194.426108551025,17.145093994440995,16.999171257019043,233.30289127005847,3,10,0,OK,
llama2-7b,4,4096,128,1252.1519165039062,3852.4301277160644,30.097595512209914,30.035497665405273,132.90098201955337,3,10,0,OK,
llama2-7b,4,8192,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 15.75 MiB is free. Including non-PyTorch memory, this process has 31.34 GiB memory in use. Of the allocated memory 26.24 GiB is allocated by PyTorch, and 4.52 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,16,128,30.120301055908204,2031.6017588615418,15.87885645618589,14.986988925933838,1007.6292360314723,3,10,0,OK,
llama2-7b,16,64,128,89.06060104370117,2115.6839429855345,16.533857390636534,15.884054374694824,967.7112619261571,3,10,0,OK,
llama2-7b,16,256,128,315.5143981933594,2465.6026504516603,19.26933470748541,18.397142601013183,830.3348425301161,3,10,0,OK,
llama2-7b,16,1024,128,1188.64404296875,4245.101872253418,33.172296343825934,32.22023658752441,482.3301900526383,3,10,0,OK,
llama2-7b,16,4096,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.34 GiB. GPU 0 has a total capacity of 31.37 GiB of which 259.75 MiB is free. Including non-PyTorch memory, this process has 31.11 GiB memory in use. Of the allocated memory 27.25 GiB is allocated by PyTorch, and 3.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,8192,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 30.23 GiB memory in use. Of the allocated memory 27.94 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,16,128,46.68874588012695,2269.1898633956907,17.739504208902673,16.27282886505127,1803.8835597186878,3,10,0,OK,
llama2-7b,32,64,128,161.35287322998047,2440.1651628494265,19.074376071719673,17.71940174102783,1677.6433409763952,3,10,0,OK,
llama2-7b,32,256,128,606.6228271484375,3266.156216239929,25.532056835504967,23.58499813079834,1253.3263656025035,3,10,0,OK,
llama2-7b,32,1024,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 469.75 MiB is free. Including non-PyTorch memory, this process has 30.90 GiB memory in use. Of the allocated memory 27.90 GiB is allocated by PyTorch, and 2.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,4096,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.44 GiB is free. Including non-PyTorch memory, this process has 29.92 GiB memory in use. Of the allocated memory 25.94 GiB is allocated by PyTorch, and 3.39 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,8192,128,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 30.16 GiB memory in use. Of the allocated memory 28.57 GiB is allocated by PyTorch, and 1.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,64,16,128,90.58347625732422,2960.112047767639,23.151290632232907,19.898137474060057,2764.424714659085,3,10,0,OK,
llama2-7b,64,64,128,316.26793212890624,3376.626502227783,26.40954708489846,22.61402244567871,2423.3660575192735,3,10,0,OK,
llama2-7b,64,256,128,1174.9800048828124,5049.201858901977,39.475808280284014,35.774207305908206,1621.2460944584247,3,10,0,OK,
