model,batch_size,input_tokens,output_tokens,prefill_ms,decode_total_ms,decode_per_token_ms,first_decode_ms,tokens_per_sec,warmup,iters,gpu,status,error_msg
llama2-7b,1,16,32,20.514582633972168,613.3083749771118,19.166195531045236,19.156313514709474,52.17519556138352,3,10,0,OK,
llama2-7b,1,64,32,21.015651321411134,614.344340133667,19.196922966741745,19.23972816467285,52.09168165817399,3,10,0,OK,
llama2-7b,1,256,32,31.005545234680177,493.8069288253784,15.384980564732706,16.87253131866455,64.99845715062648,3,10,0,OK,
llama2-7b,1,1024,32,90.96099853515625,439.0102018356323,13.716851828175207,13.787795162200927,72.90302560139509,3,10,0,OK,
llama2-7b,1,4096,32,339.1533508300781,512.7050310134888,16.020264071802938,16.076844787597658,62.420943594811725,3,10,0,OK,
llama2-7b,1,8192,32,690.8285278320312,648.508337020874,20.264336862871723,20.313894271850586,49.347778156619476,3,10,0,OK,
llama2-7b,4,16,32,17.92875518798828,448.9721979141235,14.030678696786204,14.02115831375122,285.08955884765714,3,10,0,OK,
llama2-7b,4,64,32,29.733087921142577,456.0367875099182,14.253377354529595,14.182089519500732,280.6352417750896,3,10,0,OK,
llama2-7b,4,256,32,89.74455413818359,477.3441821098328,14.91577981210524,14.955007934570313,268.17236848412773,3,10,0,OK,
llama2-7b,4,1024,32,321.2305023193359,541.4256450653077,16.919783856791835,16.912345504760744,236.4096393816724,3,10,0,OK,
llama2-7b,4,4096,32,1253.1203369140626,955.471975517273,29.853234211091074,30.021714973449708,133.98883255717465,3,10,0,OK,
llama2-7b,4,8192,32,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 15.75 MiB is free. Including non-PyTorch memory, this process has 31.34 GiB memory in use. Of the allocated memory 26.24 GiB is allocated by PyTorch, and 4.52 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,16,32,30.273135948181153,480.3668926239014,15.017848974658596,14.813574409484863,1065.398914784581,3,10,0,OK,
llama2-7b,16,64,32,89.62210006713867,506.4023073196411,15.827790349529636,15.740806484222412,1010.8802079549583,3,10,0,OK,
llama2-7b,16,256,32,317.30747680664064,590.2198972702026,18.44984287138908,18.274768257141112,867.2160576940115,3,10,0,OK,
llama2-7b,16,1024,32,1193.8915161132813,1031.9848957061768,32.25396852800923,32.111871337890626,496.0629879112599,3,10,0,OK,
llama2-7b,16,4096,32,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.34 GiB. GPU 0 has a total capacity of 31.37 GiB of which 259.75 MiB is free. Including non-PyTorch memory, this process has 31.11 GiB memory in use. Of the allocated memory 27.25 GiB is allocated by PyTorch, and 3.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
