model,batch_size,input_tokens,output_tokens,prefill_ms,decode_total_ms,decode_per_token_ms,first_decode_ms,tokens_per_sec,warmup,iters,gpu,status,error_msg
llama2-7b,1,16,256,15.379929542541504,3538.891501426697,13.822133648816276,14.247420978546142,72.34773048845753,3,10,0,OK,
llama2-7b,1,64,256,17.815731239318847,3513.725788784027,13.726209505866555,13.54236478805542,72.85332484343925,3,10,0,OK,
llama2-7b,1,256,256,30.159580421447753,3517.177001476288,13.738920984829173,13.752150344848634,72.78591973155844,3,10,0,OK,
llama2-7b,1,1024,256,90.26227493286133,3522.3894068717955,13.759245686624565,13.781756782531739,72.67840278279974,3,10,0,OK,
llama2-7b,1,4096,256,335.9816131591797,4112.689610481262,16.065269989312863,16.045763206481933,62.24607495953895,3,10,0,OK,
llama2-7b,1,8192,256,684.8237365722656,5201.7497631073,20.319481046340044,20.282096290588377,49.213855300705156,3,10,0,OK,
llama2-7b,4,16,256,17.893433380126954,3708.7801837921143,14.489139883003983,14.049513626098634,276.0688372325034,3,10,0,OK,
llama2-7b,4,64,256,29.42908172607422,3747.8988008499146,14.642029105167763,14.181379032135009,273.18618008949585,3,10,0,OK,
llama2-7b,4,256,256,88.59206008911133,3886.293251991272,15.181842161066392,14.923500919342041,263.4726377447093,3,10,0,OK,
llama2-7b,4,1024,256,316.8812286376953,4413.718728637696,17.24235185884962,16.91900463104248,231.9869141254651,3,10,0,OK,
llama2-7b,4,4096,256,1239.0475463867188,7730.750326538086,30.199562904507506,29.861785888671875,132.45224815498807,3,10,0,OK,
llama2-7b,4,8192,256,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 15.75 MiB is free. Including non-PyTorch memory, this process has 31.34 GiB memory in use. Of the allocated memory 26.24 GiB is allocated by PyTorch, and 4.52 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,16,256,29.94945297241211,4249.1261105537415,16.60502099504658,14.845756816864014,963.5639728954836,3,10,0,OK,
llama2-7b,16,64,256,88.37477111816406,4421.0716892242435,17.27561491984947,15.789884662628173,926.160954283381,3,10,0,OK,
llama2-7b,16,256,256,312.74631652832034,5197.890860748291,20.311914077459598,18.35277099609375,787.7150296611097,3,10,0,OK,
llama2-7b,16,1024,256,1179.3282958984375,8754.149854469299,34.204070169037465,32.111961364746094,467.7805863725444,3,10,0,OK,
llama2-7b,16,4096,256,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.34 GiB. GPU 0 has a total capacity of 31.37 GiB of which 259.75 MiB is free. Including non-PyTorch memory, this process has 31.11 GiB memory in use. Of the allocated memory 27.25 GiB is allocated by PyTorch, and 3.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,8192,256,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 30.23 GiB memory in use. Of the allocated memory 27.94 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,16,256,46.42503318786621,5015.28093624115,19.604145815232222,16.223753356933592,1632.307793545196,3,10,0,OK,
