n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.9866666666666667,0.01885618083164128,0.96,1.0,0.01786666666666666,0.02640000000000009
50,0.9840000000000001,0.016653327995729078,0.94,1.0,0.014186666666666688,0.04640000000000011
75,0.9853333333333334,0.010526861584290665,0.96,1.0,0.0076622222222222,0.02640000000000009
100,0.9863333333333332,0.009480975102218602,0.96,1.0,0.007719999999999993,0.02640000000000009
150,0.9888888888888889,0.007166451331820918,0.9733333333333334,1.0,0.005937777777777738,0.013599999999999945
200,0.9878333333333331,0.006282692274990261,0.975,1.0,0.005459999999999987,0.013599999999999945
300,0.9864444444444445,0.005769224438109846,0.9766666666666667,0.9966666666666667,0.004755555555555539,0.010266666666666646
500,0.9857333333333332,0.0043430659933072924,0.976,0.994,0.0033866666666666784,0.010400000000000076
750,0.986311111111111,0.0027310740436866216,0.9813333333333333,0.9906666666666667,0.0023644444444444654,0.005066666666666775
1000,0.9859666666666665,0.0029380643665893767,0.979,0.992,0.0023533333333333444,0.007400000000000073
1500,0.9862444444444444,0.002132522994245934,0.982,0.9913333333333333,0.0016577777777777951,0.004933333333333234
2000,0.9861333333333332,0.00182086670449969,0.9825,0.99,0.0014000000000000087,0.0039000000000000146
3000,0.9859777777777777,0.0011448219442125628,0.9843333333333333,0.989,0.0010177777777778025,0.0025999999999999357
4000,0.9862249999999998,0.0007888546549692647,0.98475,0.98775,0.0006916666666666941,0.0016500000000000403
