batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,694.3756733089685,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,635.219344869256,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,630.5104028433561,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,638.5691929608583,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,639.1423884779215,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,633.1382039934397,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2979.182779788971,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2763.8743314892054,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2816.891096532345,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2770.355138927698,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2748.8268110901117,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2771.026749163866,2048,5,ours_max_speed,64,main,prefill_decode,False
