batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1068.6180461198092,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1061.16758659482,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1091.049700975418,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1059.5221482217312,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1061.4278856664896,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1052.1936547011137,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2289.33840803802,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2333.1047538667917,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2421.4427806437016,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2290.198802947998,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2306.1873018741608,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2376.462835818529,2048,5,ours_max_speed,64,main,prefill_decode,False
