batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1111.5075256675482,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1189.377611503005,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1140.403337776661,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1119.8030393570662,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1113.475937396288,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1110.9234225004911,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2591.179993003607,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2607.647253200412,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2605.2479073405266,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2634.176129475236,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2620.4467080533504,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2692.685555666685,2048,5,ours_max_speed,64,main,prefill_decode,False
