activation_abs_max,activation_abs_mean,activation_mean,activation_outlier_ratio_6x_weight_mean,activation_std,backend,blocks,in_features,layer,layer_bucket,local_max_abs_error,local_rel_mse,local_rmse_over_rms,method,module_family,module_index,module_name,module_type,numel,out_features,weight_abs_max,weight_abs_mean,weight_col_norm_max,weight_col_norm_mean,weight_mean,weight_outlier_ratio_6x,weight_row_norm_max,weight_row_norm_mean,weight_std
4.96875,0.01291067639249377,-2.2595643841327728e-05,0.02535662055015564,0.06418002391482229,,,4096,0,layers_00_07,0.09375,5.261227345887068e-05,0.0072534318400927075,dense_nvfp4,attention,1,model.layers.0.self_attn.q_proj,q_proj,16777216,4096,0.7734375,0.007290542125701904,7.156308174133301,0.6854398846626282,-3.0185713058017427e-06,0.01427382230758667,3.3519811630249023,0.7678268551826477,0.013479271903634071
4.96875,0.01291067639249377,-2.2595643841327728e-05,0.020456552505493164,0.06418002391482229,,,4096,0,layers_00_07,0.1015625,8.882924342293402e-05,0.009424926706501966,dense_nvfp4,attention,2,model.layers.0.self_attn.k_proj,k_proj,16777216,4096,0.81640625,0.0092847291380167,5.607005596160889,0.8180683255195618,8.61367425386561e-06,0.00949704647064209,3.235579490661621,0.8915396332740784,0.015102141536772251
4.96875,0.01291067639249377,-2.2595643841327728e-05,0.023123204708099365,0.06418002391482229,,,4096,0,layers_00_07,0.02734375,0.00526241033917963,0.07254247265691754,dense_nvfp4,attention,3,model.layers.0.self_attn.v_proj,v_proj,16777216,4096,0.134765625,0.008046726696193218,0.8215903639793396,0.7004428505897522,4.799626367457677e-07,0.00255662202835083,1.816826343536377,0.6547608971595764,0.011053633876144886
0.69921875,0.0024771270909695886,-9.624840728861273e-05,0.011793553829193115,0.00853436720455838,,,4096,0,layers_00_07,0.044921875,0.00071946816216386,0.026822903686287584,dense_nvfp4,attention,4,model.layers.0.self_attn.o_proj,o_proj,16777216,4096,0.451171875,0.004932840820401907,1.2295564413070679,0.4033185839653015,-1.5904067822702928e-06,0.004933774471282959,3.1075775623321533,0.45231494307518005,0.007180104032158852
2.90625,0.02856140141375363,-3.3504266411910066e-05,0.046907708048820496,0.04260678044938477,,,4096,0,layers_00_07,0.10546875,0.002143371179242877,0.04629655688323784,dense_nvfp4,mlp,5,model.layers.0.mlp.gate_proj,gate_proj,45088768,11008,0.890625,0.012972692027688026,1.9885376691818237,1.7197272777557373,-1.513830284238793e-05,0.00019971714937128127,5.189163684844971,1.0422314405441284,0.016400780528783798
2.90625,0.02856140141375363,-3.3504266411910066e-05,0.04907715320587158,0.04260678044938477,,,4096,0,layers_00_07,0.0390625,0.0029220977396417565,0.054056431066449036,dense_nvfp4,mlp,6,model.layers.0.mlp.up_proj,up_proj,45088768,11008,0.341796875,0.012813741341233253,1.8084276914596558,1.690166711807251,-3.2061507226899266e-07,2.557177867856808e-05,1.63874089717865,1.0297051668167114,0.01612473651766777
3.0625,0.0014112399035501619,-4.2273167287285736e-06,0.0003670370855996775,0.004420899515836847,,,11008,0,layers_00_07,0.0546875,0.0018457730678414137,0.04296246114739487,dense_nvfp4,mlp,7,model.layers.0.mlp.down_proj,down_proj,45088768,4096,0.52734375,0.01332381833344698,1.4369772672653198,1.0752086639404297,-1.9985723156423774e-06,0.0001343571930192411,6.554708003997803,1.7578797340393066,0.016809994354844093
9.375,0.04519098124001175,0.0014011805833433755,0.07743850350379944,0.15138829061892625,,,4096,1,layers_00_07,0.203125,0.00036172438939332407,0.019019053325371484,dense_nvfp4,attention,8,model.layers.1.self_attn.q_proj,q_proj,16777216,4096,0.47265625,0.017509445548057556,4.918698787689209,1.6661643981933594,-4.032527613162529e-06,0.006599247455596924,4.37037467956543,1.4396253824234009,0.026456724852323532
9.375,0.04519098124001175,0.0014011805833433755,0.07637713849544525,0.15138829061892625,,,4096,1,layers_00_07,0.271484375,0.00034186556931607227,0.018489607062241,dense_nvfp4,attention,9,model.layers.1.self_attn.k_proj,k_proj,16777216,4096,0.57421875,0.017670709639787674,5.356703281402588,1.656357765197754,-2.339013917662669e-06,0.006669104099273682,4.771492958068848,1.4542551040649414,0.026408636942505836
9.375,0.04519098124001175,0.0014011805833433755,0.2632524073123932,0.15138829061892625,,,4096,1,layers_00_07,0.05078125,0.004858753681660309,0.06970476082492723,dense_nvfp4,attention,10,model.layers.1.self_attn.v_proj,v_proj,16777216,4096,0.1279296875,0.007418008521199226,0.7756046652793884,0.6337789297103882,1.5309313994293916e-06,0.0008510947227478027,1.7997655868530273,0.6054952144622803,0.01004513818770647
