point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,2970.739106775233,1.0,128,0,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_000.json
1,0.001,0.01198265052905553,2920.880135250093,1.0170698451207998,126,2,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_001.json
2,0.001584893192461114,0.017080564737571517,2895.9506494875236,1.0258251836235344,125,3,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_002.json
3,0.0025118864315095794,0.034772625892499215,2871.0211637249536,1.0347325698292318,124,4,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_003.json
4,0.003981071705534973,0.05060863987979151,2821.162192199814,1.0530196083688423,122,6,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_004.json
5,0.00630957344480193,0.07796909287597428,2721.4442491495347,1.0916038819107186,118,10,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_005.json
6,0.01,0.11828573479500584,2571.867334574116,1.1550903372188004,112,16,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_006.json
7,0.01584893192461114,0.20402813411593698,2347.5019627109896,1.2654895092588139,103,25,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_007.json
8,0.025118864315095808,0.27691326582833964,2075.2965043147533,1.431476948281252,88,40,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_008.json
9,0.039810717055349734,0.3976922175170957,1782.1993301400082,1.666894974392036,64,64,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_009.json
10,0.06309573444801933,0.7911002231035946,1543.2362903402104,1.9250059925174037,36,92,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_010.json
11,0.1,0.8934682932430609,1461.4649117420606,2.0327132611306578,0,128,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/034_llama2_7b_chat_wikitext_pareto_solver/prefill_decode/pareto/policies/point_011.json
