batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1133.1292483955622,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1114.650459960103,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1236.356534063816,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1181.2434382736683,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1103.5322304815054,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1106.1049159616232,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2676.7050344496965,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2696.727989241481,2048,1,ours_max_speed,64,main,prefill_decode,False
8,3047.924019396305,2048,2,ours_max_speed,64,main,prefill_decode,False
8,3479.0663681924343,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2842.0365806668997,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2634.0141724795103,2048,5,ours_max_speed,64,main,prefill_decode,False
