variant,repeat,prefill_ms,decode_x_n_ms,decode_first_ms,decode_steady_ms,e2e_ms,replaced_linear_count,backend_counts,policy_path
single_sparse_bf16,0,2647.086181640625,2034.4453926086426,323.7433166503906,55.14230702718099,4681.531574249268,248,{'sparse_bf16': 248},/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/single_sparse_bf16.json
single_sparse_bf16,1,2637.00830078125,2044.6250762939453,316.6634826660156,55.62769050598145,4681.633377075195,248,{'sparse_bf16': 248},/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/single_sparse_bf16.json
single_sparse_bf16,2,2241.647216796875,1409.082317352295,215.78150939941406,38.48586260477702,3650.72953414917,248,{'sparse_bf16': 248},/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/single_sparse_bf16.json
manual,0,2440.827880859375,1272.4062385559082,122.85810852050781,37.07303047180176,3713.234119415283,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual.json
manual,1,2565.20849609375,1481.004997253418,125.8048324584961,43.693514887491865,4046.213493347168,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual.json
manual,2,2603.7705078125,1790.8299560546875,425.1408996582031,44.031306711832684,4394.6004638671875,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual.json
pred,0,2552.603271484375,1483.8973197937012,145.71763610839844,43.138875834147136,4036.500591278076,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred.json
pred,1,2519.816162109375,1498.9104080200195,147.5308837890625,43.58340606689453,4018.7265701293945,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred.json
pred,2,2528.747802734375,1514.737247467041,147.05946350097656,44.10509414672852,4043.485050201416,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred.json
manual_down_to_pred,0,2530.71826171875,1514.3105926513672,145.80738830566406,44.1303830464681,4045.028854370117,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_to_pred.json
