batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1039.0780102461576,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1026.2091737240553,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1211.4217020571232,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1038.313452154398,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1037.3338982462883,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1042.0803911983967,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2385.7400752604008,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2358.336614444852,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2352.268351241946,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2395.976759493351,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2357.579305768013,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2378.529231995344,2048,5,ours_max_speed,64,main,prefill_decode,False
