batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,814.2673727124929,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,665.6946185976267,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,668.418264016509,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,676.925640553236,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,663.7615095824003,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,954.3203804641962,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2251.048717647791,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1572.7603770792484,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1614.0061616897583,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1540.0980357080698,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2949.7023951262236,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2988.606186583638,2048,5,ours_max_speed,64,main,prefill_decode,False
