batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,674.1771753877401,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,633.5054896771908,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,679.0295671671629,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,654.1092526167631,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,733.302641659975,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,686.8753246963024,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,3221.837818622589,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2941.2935320287943,2048,1,ours_max_speed,64,main,prefill_decode,False
8,3015.693310648203,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2896.136648952961,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2991.4962239563465,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2996.7399891465902,2048,5,ours_max_speed,64,main,prefill_decode,False
