batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1150.0225570052862,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1149.8813014477491,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1158.96256826818,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1155.1537923514843,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1150.7013142108917,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1149.778375402093,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2201.6449123620987,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2149.221356958151,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2188.8998802751303,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2193.378845229745,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2193.4842877089977,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2195.849733427167,2048,5,ours_max_speed,64,main,prefill_decode,False
