batch,input_seq,output_seq,dense_bf16,dense_nvfp4,sparse_bf16,sparse_nvfp4,marlin_nvfp4,hetero
1,128,1,1.000,0.406,1.248,0.659,1.624,0.960
1,128,16,1.000,0.418,0.771,0.353,1.235,0.613
1,128,64,1.000,0.395,0.708,0.334,1.110,0.543
1,128,128,1.000,0.398,0.725,0.335,1.137,0.539
1,256,1,1.000,0.961,1.312,0.945,1.316,1.279
1,256,16,1.000,0.491,0.825,0.362,1.294,0.691
1,256,64,1.000,0.468,0.716,0.403,1.291,0.658
1,256,128,1.000,0.462,0.786,0.341,1.296,0.651
1,512,1,1.000,1.566,1.723,1.630,1.316,1.777
1,512,16,1.000,0.550,0.893,0.471,1.328,0.761
1,512,64,1.000,0.448,0.820,0.364,1.316,0.694
1,512,128,1.000,0.459,0.773,0.394,1.280,0.649
1,1024,1,1.000,2.083,1.719,1.825,1.199,1.932
1,1024,16,1.000,0.560,0.922,0.549,1.303,0.757
1,1024,64,1.000,0.454,0.836,0.392,1.230,0.731
1,1024,128,1.000,0.503,0.742,0.429,1.350,0.706
1,4096,1,1.000,2.008,1.683,2.251,1.072,1.796
1,4096,16,1.000,0.969,1.164,0.899,1.260,1.198
1,4096,64,1.000,0.686,0.934,0.546,1.449,0.955
1,4096,128,1.000,0.623,0.884,0.497,1.520,0.894
1,8192,1,1.000,1.662,1.551,1.827,1.002,1.555
1,8192,16,1.000,1.081,1.219,1.162,1.115,1.236
1,8192,64,1.000,0.784,1.006,0.737,1.258,1.012
1,8192,128,1.000,0.703,0.934,0.592,1.322,0.941
1,16384,1,1.000,1.529,1.451,1.661,1.002,1.441
1,16384,16,1.000,1.204,1.272,1.222,1.057,1.258
1,16384,64,1.000,0.921,1.079,0.891,1.127,1.060
1,16384,128,1.000,0.826,1.003,0.863,1.186,0.981
1,32768,1,INIT_ERROR,2538.020,2611.173,2372.818,3447.569,2901.217
1,32768,16,INIT_ERROR,3346.012,3285.733,3221.170,4000.100,3504.383
1,32768,64,INIT_ERROR,5906.253,5440.878,5919.965,5723.230,5442.306
1,32768,128,INIT_ERROR,8786.888,8282.825,8921.504,7994.068,7997.135
