batch,input_seq,output_seq,dense_bf16,dense_nvfp4,sparse_bf16,sparse_nvfp4,marlin_nvfp4,hetero
1,128,1,21.754,53.558,17.426,32.992,13.391,22.666
1,128,16,190.139,454.610,246.484,537.889,153.929,309.944
1,128,64,725.571,1838.877,1025.169,2170.760,653.826,1336.945
1,128,128,1449.096,3640.612,1999.939,4323.824,1274.689,2689.880
1,256,1,26.052,27.120,19.863,27.582,19.803,20.375
1,256,16,196.443,399.745,238.206,542.989,151.765,284.329
1,256,64,741.578,1583.303,1035.263,1839.807,574.428,1127.402
1,256,128,1467.937,3179.806,1867.224,4300.115,1132.345,2254.635
1,512,1,45.673,29.172,26.506,28.014,34.712,25.695
1,512,16,219.910,399.924,246.370,466.959,165.657,289.165
1,512,64,784.661,1750.760,957.024,2153.939,596.164,1130.831
1,512,128,1467.981,3195.372,1898.137,3729.321,1147.104,2262.483
1,1024,1,79.288,38.056,46.125,43.443,66.102,41.045
1,1024,16,259.472,463.523,281.509,472.523,199.079,342.732
1,1024,64,838.221,1847.294,1003.121,2138.697,681.474,1146.879
1,1024,128,1603.111,3188.937,2159.493,3733.992,1187.644,2269.685
1,4096,1,296.313,147.566,176.035,131.619,276.451,164.959
1,4096,16,516.823,533.472,444.173,574.967,410.327,431.230
1,4096,64,1223.481,1782.252,1309.621,2242.105,844.088,1281.154
1,4096,128,2167.107,3480.671,2450.514,4360.268,1425.736,2423.057
1,8192,1,601.675,362.006,388.052,329.272,600.480,386.818
1,8192,16,879.200,813.359,720.973,756.921,788.673,711.360
1,8192,64,1768.894,2256.485,1757.801,2401.656,1406.110,1748.558
1,8192,128,2948.129,4194.122,3157.062,4982.183,2229.476,3132.949
1,16384,1,1382.179,903.732,952.265,832.202,1379.826,959.395
1,16384,16,1774.686,1474.052,1395.598,1451.689,1679.760,1411.212
1,16384,64,3037.287,3297.462,2813.675,3408.305,2693.921,2865.375
1,16384,128,4716.902,5709.371,4700.984,5467.147,3978.506,4809.058
1,32768,1,INIT_ERROR,2538.020,2611.173,2372.818,3447.569,2901.217
1,32768,16,INIT_ERROR,3346.012,3285.733,3221.170,4000.100,3504.383
1,32768,64,INIT_ERROR,5906.253,5440.878,5919.965,5723.230,5442.306
1,32768,128,INIT_ERROR,8786.888,8282.825,8921.504,7994.068,7997.135
1,65536,1,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
1,65536,16,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
1,65536,64,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
1,65536,128,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
2,128,1,42.253,62.414,30.259,62.307,24.699,43.968
2,128,16,216.456,457.228,265.391,568.343,167.089,347.860
2,128,64,772.874,1874.441,1146.430,2175.290,669.597,1314.703
2,128,128,1510.658,3171.166,1996.256,4320.176,1294.633,2729.664
2,256,1,51.009,52.805,41.606,53.310,38.779,39.810
2,256,16,234.432,426.293,261.975,579.555,172.151,309.867
2,256,64,793.410,1620.363,971.316,1888.276,600.993,1148.874
2,256,128,1545.550,3765.858,1897.722,3870.338,1170.932,2268.207
2,512,1,90.466,56.667,58.761,54.682,68.304,49.629
2,512,16,276.199,434.539,275.450,495.202,202.726,323.541
2,512,64,849.111,1861.081,997.039,2195.101,635.863,1162.782
2,512,128,1557.433,3217.357,1941.541,3045.403,1191.476,2306.614
2,1024,1,157.766,74.472,91.237,64.257,132.542,81.105
2,1024,16,342.375,465.602,327.168,510.719,267.189,384.569
2,1024,64,936.539,1884.168,1058.059,1945.233,754.417,1180.562
2,1024,128,1723.605,3282.018,2123.969,4066.218,1255.949,2324.274
2,4096,1,591.104,294.125,352.602,261.682,552.005,325.218
2,4096,16,818.520,699.769,632.134,713.477,690.053,595.223
2,4096,64,1543.508,1940.373,1497.369,2393.820,1124.672,1451.035
2,4096,128,2523.680,4038.127,2649.308,3393.790,1811.836,2609.413
2,8192,1,1203.693,724.361,776.817,656.895,1187.149,778.467
2,8192,16,1502.463,1206.055,1126.919,1115.893,1404.212,1143.865
2,8192,64,2392.375,2651.142,2170.779,2779.342,2013.759,2226.647
2,8192,128,3581.237,4581.029,3570.574,4897.878,2849.560,3953.127
2,16384,1,2766.419,1803.196,1902.910,1664.941,2758.004,2180.727
2,16384,16,7634.116,2427.910,2391.582,2405.220,3109.500,2591.611
2,16384,64,24045.495,4241.577,3802.114,4282.107,4087.457,3786.937
2,16384,128,45993.314,6676.723,5696.272,6885.827,5392.081,5393.556
2,32768,1,INIT_ERROR,5076.226,5224.158,4744.028,6891.324,5799.189
2,32768,16,INIT_ERROR,8921.262,9145.939,8465.282,12075.753,10092.501
2,32768,64,INIT_ERROR,21667.232,22140.688,20527.964,29446.494,24446.822
2,32768,128,INIT_ERROR,38688.562,39540.646,36737.896,52702.208,43700.871
2,65536,1,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
2,65536,16,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
2,65536,64,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
2,65536,128,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR,INIT_ERROR
4,128,1,58.669,59.317,220.640,64.083,39.625,51.792
4,128,16,246.915,487.418,274.074,539.442,188.294,398.908
4,128,64,821.263,1836.296,1017.313,2194.821,691.063,1426.816
4,128,128,1605.207,3706.801,2027.469,4326.806,1349.002,2710.696
4,256,1,85.816,57.996,56.876,57.077,68.843,56.300
4,256,16,273.447,432.304,287.089,555.623,204.131,344.779
4,256,64,858.385,1633.514,995.391,1891.732,633.643,1256.547
4,256,128,1644.392,3772.340,1938.728,3772.213,1210.373,2487.528
4,512,1,154.390,75.033,89.622,67.543,131.089,84.882
4,512,16,346.656,447.903,318.846,512.158,266.086,420.083
4,512,64,949.765,1906.865,1047.943,2060.319,703.768,1299.254
4,512,128,1721.805,2623.651,2019.688,3066.244,1278.349,2526.756
4,1024,1,285.872,134.472,164.012,115.757,260.455,153.884
4,1024,16,485.631,510.809,415.793,568.573,394.479,493.347
4,1024,64,1130.023,1957.169,1159.837,1985.209,898.769,1361.509
4,1024,128,1964.803,3350.810,2228.390,3444.298,1398.454,2598.136
4,4096,1,1147.608,607.561,696.186,546.073,1094.424,680.117
4,4096,16,1393.359,1029.921,997.165,1019.620,1259.856,1030.382
4,4096,64,2210.395,2341.923,1927.848,2754.298,1759.709,1998.451
4,4096,128,3311.555,4508.138,3180.048,3886.424,2491.437,3260.867
4,8192,1,2406.509,1441.602,1555.248,1312.407,2386.566,1817.952
4,8192,16,2964.282,1963.716,1945.504,1813.444,2628.401,2139.478
4,8192,64,4803.515,3529.131,3110.964,3620.738,3377.817,3136.895
4,8192,128,7208.892,6035.748,4657.361,5898.926,4379.228,4389.867
4,16384,1,5527.088,3610.054,3811.033,3330.637,5493.347,4361.255
4,16384,16,19902.611,7156.722,7296.327,6773.258,10275.409,8221.907
4,16384,64,66754.502,18300.657,18972.222,17248.284,26230.105,21192.516
4,16384,128,129220.086,33412.405,34445.008,31531.113,47574.405,38455.919
4,32768,1,INIT_ERROR,10136.900,10437.609,9475.185,13775.634,11587.063
4,32768,16,INIT_ERROR,20519.571,21198.934,19224.868,28797.296,23698.659
4,32768,64,INIT_ERROR,54074.195,55955.868,50650.071,77514.456,62932.700
4,32768,128,INIT_ERROR,98854.528,102456.277,92721.495,142466.858,115411.712
4,65536,1,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
4,65536,16,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
4,65536,64,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
4,65536,128,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,128,1,86.522,65.941,58.663,80.472,69.715,61.126
8,128,16,286.507,494.580,283.867,568.029,222.156,263.222
8,128,64,878.847,1887.224,989.633,2196.842,727.733,856.504
8,128,128,1633.967,3710.146,1935.481,3763.576,1393.748,1698.311
8,256,1,153.498,80.973,88.896,75.179,131.845,104.570
8,256,16,352.137,457.737,314.408,599.988,266.182,279.867
8,256,64,962.013,1652.356,1017.260,1546.590,703.025,829.686
8,256,128,1788.232,3250.246,1958.195,3064.491,1285.499,1739.646
8,512,1,271.082,139.376,162.392,123.973,257.678,192.389
8,512,16,482.475,517.755,399.993,571.470,393.959,388.721
8,512,64,1128.448,1972.711,1134.512,1983.740,836.277,914.941
8,512,128,2006.114,2693.061,2108.636,3848.361,1415.829,1643.395
8,1024,1,530.731,284.722,316.892,256.439,519.987,380.010
8,1024,16,756.304,662.579,587.578,718.847,657.177,589.594
8,1024,64,1465.445,2107.592,1377.720,2134.283,1176.627,1175.127
8,1024,128,2354.273,3852.412,2497.226,3316.928,1669.071,1981.904
8,4096,1,2260.821,1235.174,1387.921,1111.511,2207.932,1649.945
8,4096,16,2756.882,1742.474,1766.259,1676.664,2448.440,1971.005
8,4096,64,4502.340,3577.041,2942.226,3430.570,3223.187,2972.776
8,4096,128,6791.450,5501.339,4527.265,5181.490,4316.688,4351.442
8,8192,1,4809.099,2882.536,3116.785,2629.109,4777.394,3645.384
8,8192,16,5682.850,3832.774,3824.631,3677.637,5255.230,4242.001
8,8192,64,8425.327,6989.619,8110.993,7347.097,6725.967,6185.126
8,8192,128,12076.643,10889.019,12249.115,10607.507,8792.839,8723.235
8,16384,1,11052.663,7222.642,7637.188,6659.833,11014.313,8724.315
8,16384,16,44511.058,16365.280,17161.899,15157.860,24577.874,19490.854
8,16384,64,152027.089,47120.412,49212.732,43778.766,70433.947,55962.708
8,16384,128,295592.915,88011.932,92015.447,81987.028,131717.621,104655.532
8,32768,1,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,32768,16,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,32768,64,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,32768,128,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,65536,1,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,65536,16,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,65536,64,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
8,65536,128,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
16,128,1,154.965,97.177,92.697,86.323,133.204,107.282
16,128,16,361.989,538.848,333.798,598.189,289.817,304.286
16,128,64,993.325,1953.071,1071.709,2278.542,837.690,912.572
16,128,128,1797.999,3358.036,2045.192,3861.710,1468.964,1758.465
16,256,1,265.559,145.840,160.854,131.984,259.060,190.291
16,256,16,489.695,526.078,403.666,666.956,396.238,372.379
16,256,64,1154.602,1756.032,1158.691,1613.652,838.096,940.472
16,256,128,2068.947,2782.394,2172.160,3810.280,1426.723,1849.122
16,512,1,512.581,287.998,313.727,261.065,514.835,373.949
16,512,16,748.132,683.781,585.778,718.849,652.194,591.780
16,512,64,1485.169,2168.691,1412.007,2126.561,1097.983,1209.905
16,512,128,2435.522,3604.673,2508.193,3383.719,1684.935,2068.972
16,1024,1,1049.511,567.723,628.328,509.373,1037.437,756.390
16,1024,16,1328.723,997.671,943.635,1006.416,1212.467,1014.376
16,1024,64,2203.909,2413.776,1938.271,2536.363,1779.329,1766.060
16,1024,128,3329.362,4127.788,3256.432,4582.449,2538.506,2813.731
16,4096,1,4476.108,2492.160,2765.464,2265.114,4399.185,3296.485
16,4096,16,5324.574,3364.505,3497.487,3230.034,4850.017,3916.403
16,4096,64,8087.165,7065.892,6068.070,6276.591,6533.847,6034.429
16,4096,128,11850.205,10120.416,9456.961,10631.847,8697.456,8980.423
16,8192,1,9619.309,5766.798,6224.002,5260.996,9519.127,7294.905
16,8192,16,11312.821,7362.067,7582.176,6992.446,10491.239,8474.486
16,8192,64,16824.973,14844.423,14369.777,13215.471,13609.220,12446.439
16,8192,128,24245.030,22558.179,25438.373,21458.502,17924.290,17805.979
16,16384,1,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
16,16384,16,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM,PRECHECK_OOM
