batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1120.4688269644976,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1119.7306904941797,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1128.2217893749475,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1135.1878196001053,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1129.277590662241,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1123.6689388751984,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1930.4995276033878,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1925.8346650749445,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2011.390332132578,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1924.9502252787352,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1929.801693186164,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1897.9015164077282,2048,5,ours_max_speed,64,main,prefill_decode,False
