module_name,layer,part,fisher_mean_grad_sq,blocks,tokens
model.layers.0.mlp.down_proj,0,down_proj,2.672963276495466e-06,8,256
model.layers.0.mlp.gate_proj,0,gate_proj,5.878554504290534e-09,8,256
model.layers.0.mlp.up_proj,0,up_proj,7.767193027641284e-09,8,256
model.layers.0.self_attn.k_proj,0,k_proj,1.2060153969234433e-09,8,256
model.layers.0.self_attn.o_proj,0,o_proj,2.951243104121204e-06,8,256
model.layers.0.self_attn.q_proj,0,q_proj,3.195543676892676e-09,8,256
model.layers.0.self_attn.v_proj,0,v_proj,1.0436957120774082e-07,8,256
model.layers.1.mlp.down_proj,1,down_proj,1.9048310093694454e-06,8,256
model.layers.1.mlp.gate_proj,1,gate_proj,8.498978187887474e-09,8,256
model.layers.1.mlp.up_proj,1,up_proj,1.2954081585192512e-08,8,256
model.layers.1.self_attn.k_proj,1,k_proj,6.171593409931564e-10,8,256
model.layers.1.self_attn.o_proj,1,o_proj,2.3740629870872e-06,8,256
model.layers.1.self_attn.q_proj,1,q_proj,6.71451340708562e-10,8,256
model.layers.1.self_attn.v_proj,1,v_proj,1.2885380762384102e-07,8,256
model.layers.10.mlp.down_proj,10,down_proj,5.2918222692710515e-08,8,256
model.layers.10.mlp.gate_proj,10,gate_proj,1.8067239926367051e-09,8,256
model.layers.10.mlp.up_proj,10,up_proj,2.5161554784158824e-09,8,256
model.layers.10.self_attn.k_proj,10,k_proj,6.98544777577581e-10,8,256
model.layers.10.self_attn.o_proj,10,o_proj,5.658190671553598e-08,8,256
model.layers.10.self_attn.q_proj,10,q_proj,4.96892863660614e-10,8,256
model.layers.10.self_attn.v_proj,10,v_proj,4.0224816366674077e-08,8,256
model.layers.11.mlp.down_proj,11,down_proj,4.442017198513781e-08,8,256
model.layers.11.mlp.gate_proj,11,gate_proj,1.4947747206672801e-09,8,256
model.layers.11.mlp.up_proj,11,up_proj,2.1268870831203657e-09,8,256
model.layers.11.self_attn.k_proj,11,k_proj,6.843967927105954e-10,8,256
model.layers.11.self_attn.o_proj,11,o_proj,4.679408327490364e-08,8,256
model.layers.11.self_attn.q_proj,11,q_proj,4.2615162787473793e-10,8,256
model.layers.11.self_attn.v_proj,11,v_proj,4.1638797299015096e-08,8,256
model.layers.12.mlp.down_proj,12,down_proj,3.805407544632544e-08,8,256
model.layers.12.mlp.gate_proj,12,gate_proj,1.365456511748242e-09,8,256
model.layers.12.mlp.up_proj,12,up_proj,1.879420841177648e-09,8,256
model.layers.12.self_attn.k_proj,12,k_proj,5.587542373231003e-10,8,256
model.layers.12.self_attn.o_proj,12,o_proj,3.984906937759547e-08,8,256
model.layers.12.self_attn.q_proj,12,q_proj,3.8745287880836976e-10,8,256
model.layers.12.self_attn.v_proj,12,v_proj,3.828842642938923e-08,8,256
model.layers.13.mlp.down_proj,13,down_proj,3.2897900403838776e-08,8,256
model.layers.13.mlp.gate_proj,13,gate_proj,1.3020731298718502e-09,8,256
model.layers.13.mlp.up_proj,13,up_proj,1.853893538683593e-09,8,256
model.layers.13.self_attn.k_proj,13,k_proj,6.314561686038278e-10,8,256
model.layers.13.self_attn.o_proj,13,o_proj,3.4109377988755796e-08,8,256
model.layers.13.self_attn.q_proj,13,q_proj,3.4849444857654177e-10,8,256
model.layers.13.self_attn.v_proj,13,v_proj,3.1590476678999835e-08,8,256
model.layers.14.mlp.down_proj,14,down_proj,2.9276358226582033e-08,8,256
model.layers.14.mlp.gate_proj,14,gate_proj,1.1966265756058192e-09,8,256
model.layers.14.mlp.up_proj,14,up_proj,1.5984296941606857e-09,8,256
model.layers.14.self_attn.k_proj,14,k_proj,6.690955810240151e-10,8,256
model.layers.14.self_attn.o_proj,14,o_proj,2.988288727578947e-08,8,256
model.layers.14.self_attn.q_proj,14,q_proj,2.982123402384129e-10,8,256
model.layers.14.self_attn.v_proj,14,v_proj,2.8000239238323843e-08,8,256
model.layers.15.mlp.down_proj,15,down_proj,2.6266873343061548e-08,8,256
model.layers.15.mlp.gate_proj,15,gate_proj,1.17768328422585e-09,8,256
model.layers.15.mlp.up_proj,15,up_proj,1.5985680001939784e-09,8,256
model.layers.15.self_attn.k_proj,15,k_proj,7.720295305824187e-10,8,256
model.layers.15.self_attn.o_proj,15,o_proj,2.6677783093731477e-08,8,256
model.layers.15.self_attn.q_proj,15,q_proj,3.9214601010861827e-10,8,256
model.layers.15.self_attn.v_proj,15,v_proj,2.7394948309833467e-08,8,256
model.layers.16.mlp.down_proj,16,down_proj,2.3212975097663957e-08,8,256
model.layers.16.mlp.gate_proj,16,gate_proj,1.0534207464663048e-09,8,256
model.layers.16.mlp.up_proj,16,up_proj,1.4954666394118021e-09,8,256
model.layers.16.self_attn.k_proj,16,k_proj,4.3490678766633373e-10,8,256
model.layers.16.self_attn.o_proj,16,o_proj,2.3614792121762207e-08,8,256
model.layers.16.self_attn.q_proj,16,q_proj,2.9292796140112376e-10,8,256
model.layers.16.self_attn.v_proj,16,v_proj,1.6718145423588737e-08,8,256
model.layers.17.mlp.down_proj,17,down_proj,2.1497630120492772e-08,8,256
model.layers.17.mlp.gate_proj,17,gate_proj,9.72820241029737e-10,8,256
model.layers.17.mlp.up_proj,17,up_proj,1.3491084915884244e-09,8,256
model.layers.17.self_attn.k_proj,17,k_proj,4.0002433483732336e-10,8,256
model.layers.17.self_attn.o_proj,17,o_proj,2.236611684747203e-08,8,256
model.layers.17.self_attn.q_proj,17,q_proj,2.868307310416318e-10,8,256
model.layers.17.self_attn.v_proj,17,v_proj,1.9467512490933814e-08,8,256
model.layers.18.mlp.down_proj,18,down_proj,1.9221882419095948e-08,8,256
model.layers.18.mlp.gate_proj,18,gate_proj,9.066986259020915e-10,8,256
model.layers.18.mlp.up_proj,18,up_proj,1.2664318344013381e-09,8,256
model.layers.18.self_attn.k_proj,18,k_proj,5.191271301718814e-10,8,256
model.layers.18.self_attn.o_proj,18,o_proj,2.0486071727887634e-08,8,256
model.layers.18.self_attn.q_proj,18,q_proj,2.5795916964999055e-10,8,256
model.layers.18.self_attn.v_proj,18,v_proj,1.8836699644531052e-08,8,256
model.layers.19.mlp.down_proj,19,down_proj,1.708373409403663e-08,8,256
model.layers.19.mlp.gate_proj,19,gate_proj,8.877028348508453e-10,8,256
model.layers.19.mlp.up_proj,19,up_proj,1.158503556974999e-09,8,256
model.layers.19.self_attn.k_proj,19,k_proj,2.383117245208233e-10,8,256
model.layers.19.self_attn.o_proj,19,o_proj,1.8551405744915428e-08,8,256
model.layers.19.self_attn.q_proj,19,q_proj,1.9955924586423368e-10,8,256
model.layers.19.self_attn.v_proj,19,v_proj,1.6322315943284593e-08,8,256
model.layers.2.mlp.down_proj,2,down_proj,1.1143035933969259e-06,8,256
model.layers.2.mlp.gate_proj,2,gate_proj,9.022736169317369e-09,8,256
