batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
16,1247.7617190452293,2048,0,ours_max_speed,1,ttft,prefill_decode,True
16,1099.6180400252342,2048,1,ours_max_speed,1,ttft,prefill_decode,True
16,1085.6622019782662,2048,2,ours_max_speed,1,ttft,prefill_decode,True
16,1085.2967519313097,2048,3,ours_max_speed,1,ttft,prefill_decode,True
16,1241.2561710225418,2048,4,ours_max_speed,1,ttft,prefill_decode,True
16,1086.5667049074546,2048,5,ours_max_speed,1,ttft,prefill_decode,True
16,1091.4759379811585,2048,6,ours_max_speed,1,ttft,prefill_decode,False
16,1085.7501130085438,2048,7,ours_max_speed,1,ttft,prefill_decode,False
16,1253.306168015115,2048,8,ours_max_speed,1,ttft,prefill_decode,False
16,1084.930006065406,2048,9,ours_max_speed,1,ttft,prefill_decode,False
16,1085.2051140973344,2048,10,ours_max_speed,1,ttft,prefill_decode,False
16,2481.037479941733,2048,0,ours_max_speed,80,main,prefill_decode,True
16,2481.4689469058067,2048,1,ours_max_speed,80,main,prefill_decode,True
16,2561.9809000054374,2048,2,ours_max_speed,80,main,prefill_decode,True
16,2477.0689429715276,2048,3,ours_max_speed,80,main,prefill_decode,True
16,2563.909885007888,2048,4,ours_max_speed,80,main,prefill_decode,True
16,2483.265900053084,2048,5,ours_max_speed,80,main,prefill_decode,True
16,2617.246573907323,2048,6,ours_max_speed,80,main,prefill_decode,False
16,2480.756203061901,2048,7,ours_max_speed,80,main,prefill_decode,False
16,2477.742681046948,2048,8,ours_max_speed,80,main,prefill_decode,False
16,2481.7966440459713,2048,9,ours_max_speed,80,main,prefill_decode,False
16,2481.7029469413683,2048,10,ours_max_speed,80,main,prefill_decode,False
