batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1055.1183372735977,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1057.300478219986,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1059.1113585978746,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1070.773035287857,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1036.1545085906982,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1058.5608426481485,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2057.3489889502525,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2038.0535814911127,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2046.751843765378,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2036.2312979996204,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2042.1365965157747,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2054.102970287204,2048,5,ours_max_speed,64,main,prefill_decode,False
