method,policy,selected_modules,replaced_modules,nll,ppl,tokens,nll_delta_vs_dense,task,arc_limit,arc_acc,arc_acc_norm,arc_sample_len,nll_delta_recomputed,arc_acc_delta_vs_dense,proxy_score,proxy_score_per_module,selected_proxy_modules,local_rel_mse_sum,selected_numel_sum
dense_bf16,none,0,0,2.039499126068533,7.686758137742757,16352,0.0,arc_challenge,128,0.40625,0.4609375,128,0.0,0.0,0.0,0.0,0,0.0,0.0
dense_nvfp4,all,224,224,2.076294759015048,7.974865306131984,16352,0.03679563294651489,arc_challenge,128,0.40625,0.4609375,128,0.03679563294651489,0.0,16.530083108272944,0.0737950138762185,224,0.9118731021398477,6476005376.0
dense_nvfp4,family:attention,128,128,2.0446349739328524,7.726337708435893,16352,0.0051358478643193095,arc_challenge,128,0.40625,0.46875,128,0.0051358478643193095,0.0,8.122948171239253,0.06346053258780666,128,0.46135992550040095,2147483648.0
dense_nvfp4,family:mlp,96,96,2.072130692215115,7.941726478307229,16352,0.032631566146581914,arc_challenge,128,0.390625,0.4375,128,0.032631566146581914,-0.015625,8.407134937033687,0.08757432226076757,96,0.4505131766394463,4328521728.0
dense_nvfp4,type:q_proj,32,32,2.040333637752645,7.693175504533002,16352,0.0008345116841117495,arc_challenge,128,0.421875,0.4609375,128,0.0008345116841117495,0.015625,0.8601759109175554,0.026880497216173607,32,0.048654872907719686,536870912.0
dense_nvfp4,type:k_proj,32,32,2.039567409896104,7.687283036930873,16352,6.828382757095852e-05,arc_challenge,128,0.421875,0.46875,128,6.828382757095852e-05,0.015625,0.6486958569136992,0.0202717455285531,32,0.03664744844307622,536870912.0
dense_nvfp4,type:v_proj,32,32,2.0425060929150964,7.709906750734218,16352,0.0030069668465633193,arc_challenge,128,0.4140625,0.4609375,128,0.0030069668465633193,0.0078125,3.4537307946682962,0.10792908733338426,32,0.1951147235688484,536870912.0
dense_nvfp4,type:o_proj,32,32,2.0408724282819,7.697321631481408,16352,0.0013733022133668449,arc_challenge,128,0.4140625,0.453125,128,0.0013733022133668449,0.0078125,3.1603456087397035,0.09876080027311573,32,0.18094288058075678,536870912.0
dense_nvfp4,type:gate_proj,32,32,2.04109325894171,7.699021623794361,16352,0.001594132873176779,arc_challenge,128,0.421875,0.4609375,128,0.001594132873176779,0.015625,1.912573039991672,0.05976790749973975,32,0.10187300562259645,1442840576.0
dense_nvfp4,type:up_proj,32,32,2.041213190485587,7.699945034715986,16352,0.0017140644170536845,arc_challenge,128,0.4296875,0.4375,128,0.0017140644170536845,0.0234375,2.9461358250289336,0.09206674453215417,32,0.15780836345557295,1442840576.0
