module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost
model.layers.0.self_attn.q_proj,1,0,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,3.443975818880902e-06,1.2946943998336793
model.layers.0.self_attn.k_proj,2,0,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,9.301827391579625e-06,1.2990015983581542
model.layers.0.self_attn.v_proj,3,0,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0005174796461260912,1.2970336198806762
model.layers.0.self_attn.o_proj,4,0,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.00025311351636971957,1.29475839138031
model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0015846826104368673,2.8061856031417847
model.layers.0.mlp.up_proj,6,0,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.001607207245847448,2.80316481590271
model.layers.0.mlp.down_proj,7,0,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0013736943798271944,3.2431904077529907
model.layers.1.self_attn.q_proj,8,1,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.00025931738815326513,1.2946943998336793
model.layers.1.self_attn.k_proj,9,1,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.000322926104699029,1.2990015983581542
model.layers.1.self_attn.v_proj,10,1,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.003369842769989006,1.2970336198806762
model.layers.1.self_attn.o_proj,11,1,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.004874887564203291,1.29475839138031
model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0013541811299440914,2.8061856031417847
model.layers.1.mlp.up_proj,13,1,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0017810546042274695,2.80316481590271
model.layers.1.mlp.down_proj,14,1,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.7047939498080548e-06,3.2431904077529907
model.layers.2.self_attn.q_proj,15,2,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0003429580681139601,1.2946943998336793
model.layers.2.self_attn.k_proj,16,2,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0003984875024171977,1.2990015983581542
model.layers.2.self_attn.v_proj,17,2,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0018558780790240647,1.2970336198806762
model.layers.2.self_attn.o_proj,18,2,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.00239535699351455,1.29475839138031
model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0016038785459870362,2.8061856031417847
model.layers.2.mlp.up_proj,20,2,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.001650282987966522,2.80316481590271
model.layers.2.mlp.down_proj,21,2,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.003505596841804656,3.2431904077529907
model.layers.3.self_attn.q_proj,22,3,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0009572236598712105,1.2946943998336793
model.layers.3.self_attn.k_proj,23,3,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0010452663800017336,1.2990015983581542
model.layers.3.self_attn.v_proj,24,3,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.002364915567622104,1.2970336198806762
model.layers.3.self_attn.o_proj,25,3,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.0015192507044065882,1.29475839138031
model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.001971421181210218,2.8061856031417847
model.layers.3.mlp.up_proj,27,3,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0021001150750831065,2.80316481590271
model.layers.3.mlp.down_proj,28,3,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.003261885115280032,3.2431904077529907
model.layers.4.self_attn.q_proj,29,4,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0009281173991607439,1.2946943998336793
model.layers.4.self_attn.k_proj,30,4,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0009175088584752451,1.2990015983581542
model.layers.4.self_attn.v_proj,31,4,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.002361414175458603,1.2970336198806762
model.layers.4.self_attn.o_proj,32,4,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.001958184157058947,1.29475839138031
model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0016721923360757686,2.8061856031417847
model.layers.4.mlp.up_proj,34,4,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0020652738913468508,2.80316481590271
model.layers.4.mlp.down_proj,35,4,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.002595229190054912,3.2431904077529907
model.layers.5.self_attn.q_proj,36,5,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0012306195806591799,1.2946943998336793
model.layers.5.self_attn.k_proj,37,5,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0012168232724045543,1.2990015983581542
model.layers.5.self_attn.v_proj,38,5,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0029750401795445957,1.2970336198806762
model.layers.5.self_attn.o_proj,39,5,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.0024587420798475135,1.29475839138031
model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.001319265509781636,2.8061856031417847
model.layers.5.mlp.up_proj,41,5,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0017160963077933714,2.80316481590271
model.layers.5.mlp.down_proj,42,5,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.003756873885056377,3.2431904077529907
model.layers.6.self_attn.q_proj,43,6,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0012875492668239085,1.2946943998336793
model.layers.6.self_attn.k_proj,44,6,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0014470312906191079,1.2990015983581542
model.layers.6.self_attn.v_proj,45,6,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.002253093150052199,1.2970336198806762
model.layers.6.self_attn.o_proj,46,6,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.0020508283392807842,1.29475839138031
model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.005445735423363925,2.3487871646881104
model.layers.6.mlp.up_proj,48,6,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0015161397507436577,2.80316481590271
model.layers.6.mlp.down_proj,49,6,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0028931085197690053,3.2431904077529907
model.layers.7.self_attn.q_proj,50,7,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0015696090534003373,1.2946943998336793
model.layers.7.self_attn.k_proj,51,7,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0017318006388295365,1.2990015983581542
model.layers.7.self_attn.v_proj,52,7,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0026138551963724344,1.2970336198806762
model.layers.7.self_attn.o_proj,53,7,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.002646310051436272,1.29475839138031
model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0010680854588799862,2.8061856031417847
model.layers.7.mlp.up_proj,55,7,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0015112538323168027,2.80316481590271
model.layers.7.mlp.down_proj,56,7,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.003321799896455814,3.2431904077529907
model.layers.8.self_attn.q_proj,57,8,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0015150854570539051,1.2946943998336793
model.layers.8.self_attn.k_proj,58,8,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0015309510639619705,1.2990015983581542
model.layers.8.self_attn.v_proj,59,8,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0022992570518856324,1.2970336198806762
model.layers.8.self_attn.o_proj,60,8,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.0026577983835110917,1.29475839138031
model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.005028197306954147,2.3487871646881104
model.layers.8.mlp.up_proj,62,8,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0013314359198887688,2.80316481590271
model.layers.8.mlp.down_proj,63,8,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0031116249547161446,3.2431904077529907
model.layers.9.self_attn.q_proj,64,9,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0018468360567731577,1.2946943998336793
model.layers.9.self_attn.k_proj,65,9,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0017963408227542111,1.2990015983581542
model.layers.9.self_attn.v_proj,66,9,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.002666911026893848,1.2970336198806762
model.layers.9.self_attn.o_proj,67,9,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.0032749698930334063,1.29475839138031
model.layers.9.mlp.gate_proj,68,9,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.001139070284072339,2.8061856031417847
model.layers.9.mlp.up_proj,69,9,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.0015027532028202264,2.80316481590271
model.layers.9.mlp.down_proj,70,9,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0035280773568039207,3.2431904077529907
model.layers.10.self_attn.q_proj,71,10,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.001660594701812798,1.2946943998336793
model.layers.10.self_attn.k_proj,72,10,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0016109207762724416,1.2990015983581542
model.layers.10.self_attn.v_proj,73,10,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0022481191842938755,1.2970336198806762
model.layers.10.self_attn.o_proj,74,10,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.002864504084105547,1.29475839138031
model.layers.10.mlp.gate_proj,75,10,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.004771939788270532,2.3487871646881104
model.layers.10.mlp.up_proj,76,10,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.001350511817735484,2.80316481590271
model.layers.10.mlp.down_proj,77,10,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0029675573431499455,3.2431904077529907
model.layers.11.self_attn.q_proj,78,11,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0019667597951288337,1.2946943998336793
model.layers.11.self_attn.k_proj,79,11,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.001932224643770024,1.2990015983581542
model.layers.11.self_attn.v_proj,80,11,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0025963711954367034,1.2970336198806762
model.layers.11.self_attn.o_proj,81,11,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.003236708904100821,1.29475839138031
model.layers.11.mlp.gate_proj,82,11,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.004539828665101065,2.3487871646881104
model.layers.11.mlp.up_proj,83,11,up_proj,mlp,mlp.up_proj,11008,4096,sparse_nvfp4,0.005096728216052807,2.346992039680481
model.layers.11.mlp.down_proj,84,11,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0032675809571311356,3.2431904077529907
model.layers.12.self_attn.q_proj,85,12,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0016871458417244375,1.2946943998336793
model.layers.12.self_attn.k_proj,86,12,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0017086334876986776,1.2990015983581542
model.layers.12.self_attn.v_proj,87,12,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0021899352297770815,1.2970336198806762
model.layers.12.self_attn.o_proj,88,12,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.00266774401574836,1.29475839138031
model.layers.12.mlp.gate_proj,89,12,gate_proj,mlp,mlp.gate_proj,11008,4096,sparse_nvfp4,0.004659722566618743,2.3487871646881104
model.layers.12.mlp.up_proj,90,12,up_proj,mlp,mlp.up_proj,11008,4096,sparse_nvfp4,0.005049734735478993,2.346992039680481
model.layers.12.mlp.down_proj,91,12,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,0.0027089816751288075,3.2431904077529907
model.layers.13.self_attn.q_proj,92,13,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.0019646202363878683,1.2946943998336793
model.layers.13.self_attn.k_proj,93,13,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.0020052561605465517,1.2990015983581542
model.layers.13.self_attn.v_proj,94,13,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.0027696489538656093,1.2970336198806762
