module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.self_attn.v_proj,0,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004259491769220611
model.layers.1.self_attn.v_proj,1,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00039327646423955513
model.layers.2.self_attn.v_proj,2,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00041258594751280366
model.layers.2.self_attn.o_proj,2,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0003595753826018198
model.layers.3.self_attn.v_proj,3,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00042798273251672104
model.layers.4.self_attn.v_proj,4,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00044844443438694573
model.layers.4.self_attn.o_proj,4,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00035505519903769627
model.layers.5.self_attn.v_proj,5,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00047074869818624753
model.layers.5.self_attn.o_proj,5,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00040922228682644784
model.layers.6.self_attn.v_proj,6,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00042835951500099206
model.layers.6.self_attn.o_proj,6,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00042620409330736207
model.layers.7.self_attn.v_proj,7,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004405031604054473
model.layers.7.self_attn.o_proj,7,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004886799213286432
model.layers.8.self_attn.v_proj,8,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0003800993313164903
model.layers.8.self_attn.o_proj,8,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004976184359407542
model.layers.9.self_attn.v_proj,9,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00038865527086950197
model.layers.11.self_attn.v_proj,11,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0003968040527864981
model.layers.12.self_attn.v_proj,12,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004018016722546262
model.layers.13.self_attn.v_proj,13,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004411596900399075
model.layers.14.self_attn.v_proj,14,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00044454032718555843
model.layers.15.self_attn.v_proj,15,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004390129754446905
model.layers.16.self_attn.v_proj,16,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004814397799649116
model.layers.16.self_attn.o_proj,16,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00047896269722078413
model.layers.17.self_attn.v_proj,17,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004575373280254989
model.layers.18.self_attn.v_proj,18,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004764594472343685
model.layers.18.self_attn.o_proj,18,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00048177936547851816
model.layers.19.self_attn.v_proj,19,v_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00047193839290457957
model.layers.20.self_attn.o_proj,20,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0003819263994879636
model.layers.21.self_attn.o_proj,21,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00044747365245316137
model.layers.22.self_attn.o_proj,22,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00038435290663527165
model.layers.23.self_attn.o_proj,23,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00046365634017265356
model.layers.25.self_attn.o_proj,25,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.00045554735196829527
model.layers.28.self_attn.o_proj,28,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.0004592022993531063
model.layers.30.self_attn.o_proj,30,o_proj,attention,dense_bf16,marlin_nvfp4,-0.502279999999999,0.000429274382647621
