batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,691.974813118577,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,731.9759894162416,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,868.025578558445,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,701.6811911016703,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,800.5664590746164,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,634.6866115927696,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1448.0250664055347,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1477.0602080971003,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1849.8763497918844,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1473.2193909585476,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1455.0949987024069,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1620.0138181447983,2048,5,ours_max_speed,64,main,prefill_decode,False
