batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1012.7529203891754,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1068.9559858292341,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,997.0483630895615,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,987.1921688318253,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1011.6227362304926,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1269.2851144820452,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2089.9723805487156,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2132.367491722107,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2113.9965299516916,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2340.9891445189714,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2217.064144089818,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2240.1580791920424,2048,5,ours_max_speed,64,main,prefill_decode,False
