policy_id,pair_id,arm,sample_kind,selected_modules,selected_names,raw_error_sum,final_proxy_sum,raw_pair_gap,final_pair_gap
sparse_nvfp4_c032_pair00_low_final,sparse_nvfp4_c032_pair00,low_final,controlled_raw_matched,32,model.layers.0.mlp.down_proj;model.layers.0.mlp.up_proj;model.layers.0.self_attn.q_proj;model.layers.0.self_attn.v_proj;model.layers.1.mlp.down_proj;model.layers.1.self_attn.k_proj;model.layers.1.self_attn.v_proj;model.layers.10.self_attn.q_proj;model.layers.11.mlp.up_proj;model.layers.12.mlp.gate_proj;model.layers.14.mlp.up_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.v_proj;model.layers.19.mlp.gate_proj;model.layers.19.self_attn.o_proj;model.layers.2.self_attn.o_proj;model.layers.2.self_attn.v_proj;model.layers.24.mlp.up_proj;model.layers.25.mlp.down_proj;model.layers.25.mlp.up_proj;model.layers.25.self_attn.v_proj;model.layers.27.self_attn.o_proj;model.layers.27.self_attn.v_proj;model.layers.29.self_attn.o_proj;model.layers.3.self_attn.o_proj;model.layers.30.mlp.down_proj;model.layers.30.mlp.gate_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.down_proj;model.layers.7.self_attn.q_proj;model.layers.8.mlp.up_proj;model.layers.8.self_attn.o_proj,3.2073251125784052,0.15797218148952755,0.028090676712857032,0.04616863409953717
sparse_nvfp4_c032_pair00_high_final,sparse_nvfp4_c032_pair00,high_final,controlled_raw_matched,32,model.layers.0.mlp.gate_proj;model.layers.11.self_attn.q_proj;model.layers.13.self_attn.k_proj;model.layers.13.self_attn.v_proj;model.layers.14.mlp.down_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.o_proj;model.layers.14.self_attn.q_proj;model.layers.14.self_attn.v_proj;model.layers.15.mlp.gate_proj;model.layers.16.self_attn.k_proj;model.layers.17.mlp.down_proj;model.layers.18.self_attn.k_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.up_proj;model.layers.21.mlp.gate_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.v_proj;model.layers.23.self_attn.k_proj;model.layers.23.self_attn.q_proj;model.layers.24.self_attn.q_proj;model.layers.25.mlp.up_proj;model.layers.26.self_attn.q_proj;model.layers.28.mlp.up_proj;model.layers.28.self_attn.o_proj;model.layers.29.self_attn.o_proj;model.layers.3.mlp.gate_proj;model.layers.30.self_attn.v_proj;model.layers.31.self_attn.k_proj;model.layers.4.mlp.down_proj;model.layers.7.mlp.gate_proj;model.layers.9.mlp.up_proj,3.2354157892912623,0.20414081558906472,0.028090676712857032,0.04616863409953717
sparse_nvfp4_c032_pair01_low_final,sparse_nvfp4_c032_pair01,low_final,controlled_raw_matched,32,model.layers.0.mlp.down_proj;model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.0.self_attn.v_proj;model.layers.1.mlp.gate_proj;model.layers.1.self_attn.q_proj;model.layers.10.self_attn.o_proj;model.layers.11.mlp.down_proj;model.layers.11.self_attn.k_proj;model.layers.12.mlp.gate_proj;model.layers.12.self_attn.q_proj;model.layers.14.mlp.up_proj;model.layers.15.mlp.gate_proj;model.layers.15.self_attn.v_proj;model.layers.16.mlp.gate_proj;model.layers.16.self_attn.v_proj;model.layers.17.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.self_attn.o_proj;model.layers.23.mlp.up_proj;model.layers.25.self_attn.q_proj;model.layers.26.mlp.up_proj;model.layers.28.mlp.up_proj;model.layers.29.mlp.up_proj;model.layers.3.self_attn.q_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.4.self_attn.v_proj;model.layers.6.self_attn.o_proj;model.layers.8.mlp.up_proj;model.layers.9.mlp.gate_proj;model.layers.9.self_attn.o_proj,2.931689327587399,0.1587303437276225,0.01046017566165336,0.045483922192063236
sparse_nvfp4_c032_pair01_high_final,sparse_nvfp4_c032_pair01,high_final,controlled_raw_matched,32,model.layers.12.mlp.up_proj;model.layers.13.self_attn.o_proj;model.layers.13.self_attn.q_proj;model.layers.14.mlp.up_proj;model.layers.16.self_attn.o_proj;model.layers.16.self_attn.q_proj;model.layers.17.self_attn.q_proj;model.layers.18.self_attn.v_proj;model.layers.19.mlp.gate_proj;model.layers.19.self_attn.k_proj;model.layers.22.mlp.down_proj;model.layers.22.self_attn.k_proj;model.layers.23.mlp.gate_proj;model.layers.24.self_attn.k_proj;model.layers.26.self_attn.k_proj;model.layers.27.self_attn.k_proj;model.layers.27.self_attn.q_proj;model.layers.27.self_attn.v_proj;model.layers.28.self_attn.k_proj;model.layers.28.self_attn.q_proj;model.layers.29.mlp.gate_proj;model.layers.29.self_attn.o_proj;model.layers.29.self_attn.q_proj;model.layers.29.self_attn.v_proj;model.layers.3.self_attn.o_proj;model.layers.31.self_attn.q_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.o_proj;model.layers.5.self_attn.v_proj;model.layers.9.mlp.gate_proj;model.layers.9.self_attn.k_proj;model.layers.9.self_attn.q_proj,2.9421495032490523,0.20421426591968575,0.01046017566165336,0.045483922192063236
sparse_nvfp4_c032_pair02_low_final,sparse_nvfp4_c032_pair02,low_final,controlled_raw_matched,32,model.layers.0.self_attn.k_proj;model.layers.0.self_attn.o_proj;model.layers.1.mlp.down_proj;model.layers.1.self_attn.o_proj;model.layers.1.self_attn.v_proj;model.layers.12.mlp.gate_proj;model.layers.13.self_attn.k_proj;model.layers.13.self_attn.q_proj;model.layers.15.self_attn.v_proj;model.layers.17.self_attn.o_proj;model.layers.22.self_attn.o_proj;model.layers.24.mlp.gate_proj;model.layers.24.mlp.up_proj;model.layers.25.mlp.up_proj;model.layers.26.self_attn.o_proj;model.layers.29.self_attn.k_proj;model.layers.3.mlp.down_proj;model.layers.3.mlp.up_proj;model.layers.3.self_attn.k_proj;model.layers.30.self_attn.o_proj;model.layers.31.mlp.down_proj;model.layers.31.mlp.up_proj;model.layers.4.mlp.gate_proj;model.layers.4.self_attn.v_proj;model.layers.5.self_attn.q_proj;model.layers.5.self_attn.v_proj;model.layers.6.mlp.gate_proj;model.layers.6.self_attn.v_proj;model.layers.7.mlp.up_proj;model.layers.7.self_attn.k_proj;model.layers.7.self_attn.v_proj;model.layers.9.self_attn.v_proj,2.782414504846688,0.15411329505661733,0.004507750146362177,0.04330543110382268
sparse_nvfp4_c032_pair02_high_final,sparse_nvfp4_c032_pair02,high_final,controlled_raw_matched,32,model.layers.1.self_attn.o_proj;model.layers.1.self_attn.v_proj;model.layers.12.self_attn.o_proj;model.layers.12.self_attn.v_proj;model.layers.14.self_attn.q_proj;model.layers.15.mlp.gate_proj;model.layers.16.mlp.down_proj;model.layers.17.mlp.gate_proj;model.layers.17.self_attn.k_proj;model.layers.19.mlp.gate_proj;model.layers.21.self_attn.k_proj;model.layers.21.self_attn.q_proj;model.layers.21.self_attn.v_proj;model.layers.22.mlp.gate_proj;model.layers.22.self_attn.k_proj;model.layers.22.self_attn.q_proj;model.layers.23.mlp.gate_proj;model.layers.23.self_attn.k_proj;model.layers.25.mlp.down_proj;model.layers.25.mlp.gate_proj;model.layers.27.self_attn.q_proj;model.layers.28.self_attn.k_proj;model.layers.29.self_attn.k_proj;model.layers.29.self_attn.q_proj;model.layers.3.mlp.gate_proj;model.layers.3.self_attn.v_proj;model.layers.30.self_attn.k_proj;model.layers.31.self_attn.v_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.o_proj;model.layers.5.mlp.gate_proj;model.layers.9.mlp.up_proj,2.777906754700326,0.19741872616044,0.004507750146362177,0.04330543110382268
sparse_nvfp4_c032_pair03_low_final,sparse_nvfp4_c032_pair03,low_final,controlled_raw_matched,32,model.layers.0.self_attn.k_proj;model.layers.0.self_attn.q_proj;model.layers.0.self_attn.v_proj;model.layers.1.mlp.up_proj;model.layers.1.self_attn.q_proj;model.layers.10.self_attn.v_proj;model.layers.11.mlp.gate_proj;model.layers.11.self_attn.o_proj;model.layers.14.mlp.down_proj;model.layers.14.mlp.up_proj;model.layers.14.self_attn.k_proj;model.layers.16.mlp.gate_proj;model.layers.17.self_attn.q_proj;model.layers.19.mlp.gate_proj;model.layers.2.mlp.gate_proj;model.layers.2.self_attn.k_proj;model.layers.21.mlp.up_proj;model.layers.24.mlp.up_proj;model.layers.24.self_attn.o_proj;model.layers.25.self_attn.v_proj;model.layers.26.mlp.down_proj;model.layers.27.mlp.gate_proj;model.layers.27.self_attn.v_proj;model.layers.29.mlp.down_proj;model.layers.29.mlp.gate_proj;model.layers.3.self_attn.q_proj;model.layers.30.mlp.down_proj;model.layers.30.self_attn.v_proj;model.layers.5.mlp.up_proj;model.layers.5.self_attn.k_proj;model.layers.6.mlp.down_proj;model.layers.7.mlp.gate_proj,3.1072011659990615,0.16189104946285118,0.023636384468011862,0.04245333652933078
sparse_nvfp4_c032_pair03_high_final,sparse_nvfp4_c032_pair03,high_final,controlled_raw_matched,32,model.layers.10.self_attn.q_proj;model.layers.12.mlp.gate_proj;model.layers.13.self_attn.v_proj;model.layers.16.self_attn.k_proj;model.layers.16.self_attn.o_proj;model.layers.16.self_attn.q_proj;model.layers.18.self_attn.k_proj;model.layers.19.mlp.down_proj;model.layers.19.mlp.up_proj;model.layers.19.self_attn.k_proj;model.layers.2.mlp.down_proj;model.layers.2.mlp.up_proj;model.layers.20.mlp.up_proj;model.layers.22.mlp.down_proj;model.layers.22.self_attn.q_proj;model.layers.22.self_attn.v_proj;model.layers.23.mlp.up_proj;model.layers.23.self_attn.q_proj;model.layers.24.self_attn.o_proj;model.layers.24.self_attn.q_proj;model.layers.27.mlp.gate_proj;model.layers.28.self_attn.q_proj;model.layers.28.self_attn.v_proj;model.layers.29.self_attn.q_proj;model.layers.29.self_attn.v_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.q_proj;model.layers.5.self_attn.q_proj;model.layers.7.self_attn.o_proj;model.layers.8.self_attn.v_proj;model.layers.9.mlp.gate_proj;model.layers.9.self_attn.k_proj,3.1308375504670733,0.20434438599218196,0.023636384468011862,0.04245333652933078
sparse_nvfp4_c032_pair04_low_final,sparse_nvfp4_c032_pair04,low_final,controlled_raw_matched,32,model.layers.0.self_attn.o_proj;model.layers.0.self_attn.q_proj;model.layers.1.self_attn.k_proj;model.layers.1.self_attn.q_proj;model.layers.11.self_attn.o_proj;model.layers.12.mlp.down_proj;model.layers.13.self_attn.k_proj;model.layers.14.mlp.down_proj;model.layers.14.self_attn.k_proj;model.layers.14.self_attn.v_proj;model.layers.16.self_attn.v_proj;model.layers.18.self_attn.q_proj;model.layers.2.self_attn.q_proj;model.layers.21.mlp.down_proj;model.layers.22.self_attn.v_proj;model.layers.23.mlp.down_proj;model.layers.24.mlp.down_proj;model.layers.24.mlp.up_proj;model.layers.26.self_attn.o_proj;model.layers.3.self_attn.o_proj;model.layers.3.self_attn.q_proj;model.layers.30.self_attn.o_proj;model.layers.31.self_attn.o_proj;model.layers.4.mlp.up_proj;model.layers.5.mlp.gate_proj;model.layers.5.mlp.up_proj;model.layers.6.mlp.up_proj;model.layers.6.self_attn.q_proj;model.layers.7.self_attn.k_proj;model.layers.8.mlp.down_proj;model.layers.8.self_attn.q_proj;model.layers.9.self_attn.v_proj,3.134750085520294,0.1629612134995623,0.003214696379615578,0.04100908089115207
sparse_nvfp4_c032_pair04_high_final,sparse_nvfp4_c032_pair04,high_final,controlled_raw_matched,32,model.layers.10.self_attn.q_proj;model.layers.12.mlp.up_proj;model.layers.12.self_attn.o_proj;model.layers.18.mlp.gate_proj;model.layers.18.mlp.up_proj;model.layers.18.self_attn.k_proj;model.layers.18.self_attn.o_proj;model.layers.19.mlp.down_proj;model.layers.2.self_attn.k_proj;model.layers.20.mlp.gate_proj;model.layers.20.mlp.up_proj;model.layers.21.mlp.gate_proj;model.layers.23.self_attn.q_proj;model.layers.24.self_attn.v_proj;model.layers.25.self_attn.k_proj;model.layers.25.self_attn.q_proj;model.layers.25.self_attn.v_proj;model.layers.28.mlp.gate_proj;model.layers.28.self_attn.k_proj;model.layers.3.mlp.up_proj;model.layers.30.mlp.gate_proj;model.layers.30.mlp.up_proj;model.layers.30.self_attn.k_proj;model.layers.30.self_attn.q_proj;model.layers.31.self_attn.k_proj;model.layers.31.self_attn.q_proj;model.layers.31.self_attn.v_proj;model.layers.5.self_attn.q_proj;model.layers.6.mlp.up_proj;model.layers.7.mlp.up_proj;model.layers.7.self_attn.o_proj;model.layers.9.mlp.gate_proj,3.1379647818999095,0.20397029439071437,0.003214696379615578,0.04100908089115207
sparse_nvfp4_c032_pair05_low_final,sparse_nvfp4_c032_pair05,low_final,controlled_raw_matched,32,model.layers.0.mlp.gate_proj;model.layers.0.self_attn.k_proj;model.layers.0.self_attn.o_proj;model.layers.11.self_attn.v_proj;model.layers.12.self_attn.o_proj;model.layers.13.mlp.gate_proj;model.layers.15.mlp.up_proj;model.layers.15.self_attn.o_proj;model.layers.2.mlp.up_proj;model.layers.2.self_attn.v_proj;model.layers.20.mlp.gate_proj;model.layers.21.mlp.gate_proj;model.layers.22.mlp.up_proj;model.layers.23.self_attn.v_proj;model.layers.24.mlp.down_proj;model.layers.24.self_attn.v_proj;model.layers.26.self_attn.o_proj;model.layers.27.mlp.down_proj;model.layers.28.mlp.down_proj;model.layers.28.self_attn.v_proj;model.layers.3.self_attn.v_proj;model.layers.31.mlp.gate_proj;model.layers.31.mlp.up_proj;model.layers.4.mlp.down_proj;model.layers.4.self_attn.k_proj;model.layers.4.self_attn.q_proj;model.layers.5.self_attn.k_proj;model.layers.6.mlp.gate_proj;model.layers.7.self_attn.q_proj;model.layers.8.mlp.gate_proj;model.layers.9.self_attn.o_proj;model.layers.9.self_attn.v_proj,3.3296156177792926,0.16783040813319658,0.002765013118368742,0.040615556202191955
